sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
"Lets discuss The psychological effects of the ""attention economy"" on cognitive development.","['NNS', 'VBP', 'DT', 'JJ', 'NNS', 'IN', 'DT', '``', 'NN', 'NN', ""''"", 'IN', 'JJ', 'NN', '.']","['Lets', 'discuss', 'The', 'psychological', 'effect', 'of', 'the', '``', 'attention', 'economy', ""''"", 'on', 'cognitive', 'development', '.']",0.5333333333333333,2.99213134775723e-05,1.641585118656571,0.003332168239543283,0.0,0.9965,0.24033720375377762,7,0.06666666666666667,0,0,0.0,True,LLM,2026-05-15_142022
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9965,0.24033720375377762,1,0.0,0,0,0.0,True,LLM,2026-05-15_142022
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,4.398117068347105e-07,0.9486832980505138,0.0006990562740300594,0.0,0.9965,0.24033720375377762,3,0.2,0,0,0.0,True,LLM,2026-05-15_142022
"To examine the intersection of the ""attention economy"" and cognitive development is to engage with one of the most profound anthropological shifts of the 21st century.","['TO', 'VB', 'DT', 'NN', 'IN', 'DT', '``', 'NN', 'NN', ""''"", 'CC', 'JJ', 'NN', 'VBZ', 'TO', 'VB', 'IN', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'JJ', 'NNS', 'IN', 'DT', 'JJ', 'NN', '.']","['To', 'examine', 'the', 'intersection', 'of', 'the', '``', 'attention', 'economy', ""''"", 'and', 'cognitive', 'development', 'be', 'to', 'engage', 'with', 'one', 'of', 'the', 'most', 'profound', 'anthropological', 'shift', 'of', 'the', '21st', 'century', '.']",0.4827586206896552,1.9822069287203278e-05,1.592217400357125,0.002796225096120238,0.34,1.3365,0.24033720375377762,10,0.034482758620689655,0,1,0.0,True,LLM,2026-05-15_142022
"As a scholar of human cognition, I view this not merely as a technological evolution, but as a fundamental restructuring of the *epistemic environment* in which the human mind matures.","['IN', 'DT', 'NN', 'IN', 'JJ', 'NN', ',', 'PRP', 'VBP', 'DT', 'RB', 'RB', 'IN', 'DT', 'JJ', 'NN', ',', 'CC', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'JJ', 'NN', 'NN', 'IN', 'WDT', 'DT', 'NN', 'NN', 'NNS', '.']","['As', 'a', 'scholar', 'of', 'human', 'cognition', ',', 'I', 'view', 'this', 'not', 'merely', 'a', 'a', 'technological', 'evolution', ',', 'but', 'a', 'a', 'fundamental', 'restructuring', 'of', 'the', '*', 'epistemic', 'environment', '*', 'in', 'which', 'the', 'human', 'mind', 'matures', '.']",0.4857142857142857,1.5233533055660411e-05,1.8962029473812998,0.0020583323624218416,0.0,0.9965,0.24033720375377762,6,0.22857142857142856,1,1,-0.05714285714285714,True,LLM,2026-05-15_142022
"The ""attention economy,"" as articulated by thinkers like Herbert Simon and later refined by scholars like Shoshana Zuboff, posits that human attention is the scarcest commodity in an information-rich world.","['DT', '``', 'NN', 'NN', ',', ""''"", 'IN', 'VBN', 'IN', 'NNS', 'IN', 'NNP', 'NNP', 'CC', 'RB', 'VBN', 'IN', 'NNS', 'IN', 'NNP', 'NNP', ',', 'VBZ', 'IN', 'JJ', 'NN', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']","['The', '``', 'attention', 'economy', ',', ""''"", 'a', 'articulate', 'by', 'thinker', 'like', 'Herbert', 'Simon', 'and', 'later', 'refine', 'by', 'scholar', 'like', 'Shoshana', 'Zuboff', ',', 'posit', 'that', 'human', 'attention', 'be', 'the', 'scarce', 'commodity', 'in', 'an', 'information-rich', 'world', '.']",0.5428571428571428,1.5043045227700113e-05,2.0722366202362656,0.0018716667982095138,0.6124,1.6089000000000002,0.24033720375377762,9,0.5945945945945946,1,1,0.05405405405405406,True,LLM,2026-05-15_142022
"When we apply this framework to cognitive development, several critical vectors of concern emerge.","['WRB', 'PRP', 'VBP', 'DT', 'NN', 'TO', 'VB', 'NN', ',', 'JJ', 'JJ', 'NNS', 'IN', 'NN', 'NN', '.']","['When', 'we', 'apply', 'this', 'framework', 'to', 'cognitive', 'development', ',', 'several', 'critical', 'vector', 'of', 'concern', 'emerge', '.']",0.5625,9.827042824588064e-06,1.5597731404045303,0.002009786787836421,-0.3182,0.6783000000000001,0.24033720375377762,5,0.6875,1,0,-0.1875,False,LLM,2026-05-15_142022
### 1.,"['#', '#', '#', 'CD', '.']","['#', '#', '#', '1', '.']",0.0,1.7375277307050292e-06,1.414213562373095,0.0009320750320400791,0.0,0.9965,0.24033720375377762,2,0.4,0,0,0.0,True,LLM,2026-05-15_142022
"The Erosion of ""Deep Work"" and Sustained Attention
The hallmark of higher-order cognitive development is the ability to engage in ""deep work""—the capacity to focus without distraction on a cognitively demanding task.","['DT', 'NNP', 'IN', '``', 'JJ', 'NN', ""''"", 'CC', 'VBD', 'NNP', 'DT', 'NN', 'IN', 'JJ', 'JJ', 'NN', 'VBZ', 'DT', 'NN', 'TO', 'VB', 'IN', '``', 'JJ', 'NN', ""''"", 'VBZ', 'DT', 'NN', 'TO', 'VB', 'IN', 'NN', 'IN', 'DT', 'RB', 'VBG', 'NN', '.']","['The', 'Erosion', 'of', '``', 'Deep', 'Work', ""''"", 'and', 'Sustained', 'Attention', 'The', 'hallmark', 'of', 'higher-order', 'cognitive', 'development', 'be', 'the', 'ability', 'to', 'engage', 'in', '``', 'deep', 'work', ""''"", '—', 'the', 'capacity', 'to', 'focus', 'without', 'distraction', 'on', 'a', 'cognitively', 'demand', 'task', '.']",0.5384615384615384,1.42567470992676e-05,2.0370607076203235,0.0018535583023524301,0.6103,1.6068,0.24033720375377762,10,0.48717948717948717,0,1,0.05128205128205128,True,LLM,2026-05-15_142022
This state is essential for neuroplasticity and the consolidation of complex schemas.,"['DT', 'NN', 'VBZ', 'JJ', 'IN', 'NN', 'CC', 'DT', 'NN', 'IN', 'JJ', 'NN', '.']","['This', 'state', 'be', 'essential', 'for', 'neuroplasticity', 'and', 'the', 'consolidation', 'of', 'complex', 'schema', '.']",0.5384615384615384,2.3731325956557986e-05,2.1315880981252464,0.0022853762804828865,0.0,0.9965,0.24033720375377762,8,0.15384615384615385,0,1,0.3076923076923077,False,LLM,2026-05-15_142022
