sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The ethics of data ownership and digital inheritance.,"['NNS', 'VBP', 'DT', 'NNS', 'IN', 'NNS', 'NN', 'CC', 'JJ', 'NN', '.']","['Lets', 'discuss', 'The', 'ethic', 'of', 'data', 'ownership', 'and', 'digital', 'inheritance', '.']",0.6363636363636364,0.00015263476788062656,2.1402163855843446,0.005772567907355597,0.0,0.9716,0.23076923076923078,6,0.09090909090909091,0,1,0.18181818181818182,True,LLM,2026-05-15_143055
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9716,0.23076923076923078,1,0.0,0,0,0.0,True,LLM,2026-05-15_143055
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,1.0562275769790346e-06,1.46565621758588,0.0007012076353720296,0.0,0.9716,0.23076923076923078,3,0.2,0,0,0.0,True,LLM,2026-05-15_143055
The intersection of data ownership and digital inheritance represents one of the most profound ontological and legal challenges of the 21st century.,"['DT', 'NN', 'IN', 'NNS', 'NN', 'CC', 'JJ', 'NN', 'VBZ', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'JJ', 'CC', 'JJ', 'NNS', 'IN', 'DT', 'JJ', 'NN', '.']","['The', 'intersection', 'of', 'data', 'ownership', 'and', 'digital', 'inheritance', 'represent', 'one', 'of', 'the', 'most', 'profound', 'ontological', 'and', 'legal', 'challenge', 'of', 'the', '21st', 'century', '.']",0.5652173913043478,0.00010803909645696809,2.027822477437312,0.00512578680827507,0.2023,0.7693,0.23076923076923078,7,0.34782608695652173,0,2,0.08695652173913043,True,LLM,2026-05-15_143055
"As a scholar observing this landscape, I perceive it not merely as a technical problem of ""who owns the bits,"" but as a fundamental tension between the **commodification of the self** and the **right to personal legacy.","['IN', 'DT', 'NN', 'VBG', 'DT', 'NN', ',', 'PRP', 'VBP', 'PRP', 'RB', 'RB', 'IN', 'DT', 'JJ', 'NN', 'IN', '``', 'WP', 'VBZ', 'DT', 'NNS', ',', ""''"", 'CC', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NN', 'IN', 'DT', 'NN', 'NNP', 'NNP', 'CC', 'DT', 'NNP', 'NNP', 'NN', 'TO', 'JJ', 'NN', '.']","['As', 'a', 'scholar', 'observe', 'this', 'landscape', ',', 'I', 'perceive', 'it', 'not', 'merely', 'a', 'a', 'technical', 'problem', 'of', '``', 'who', 'own', 'the', 'bit', ',', ""''"", 'but', 'a', 'a', 'fundamental', 'tension', 'between', 'the', '*', '*', 'commodification', 'of', 'the', 'self', '*', '*', 'and', 'the', '*', '*', 'right', 'to', 'personal', 'legacy', '.']",0.4791666666666667,1.6791862907483016e-05,1.907594422559301,0.0021481440258222496,-0.5859,1.5575,0.23076923076923078,8,0.16666666666666666,0,2,0.2708333333333333,False,LLM,2026-05-15_143055
"**

To explore this, we must deconstruct the issue into three primary philosophical pillars:

### 1.","['JJ', 'NN', 'TO', 'VB', 'DT', ',', 'PRP', 'MD', 'VB', 'DT', 'NN', 'IN', 'CD', 'JJ', 'JJ', 'NNS', ':', '#', '#', '#', 'CD', '.']","['*', '*', 'To', 'explore', 'this', ',', 'we', 'must', 'deconstruct', 'the', 'issue', 'into', 'three', 'primary', 'philosophical', 'pillar', ':', '#', '#', '#', '1', '.']",0.36363636363636365,3.072298223164253e-05,1.9877979853219054,0.0027884280237016382,0.0,0.9716,0.23076923076923078,5,0.375,1,0,-0.041666666666666664,True,LLM,2026-05-15_143055
"The Paradox of Ownership vs. License
In the traditional legal sense, physical property implies an ""exclusive right to use and dispose.""","['DT', 'NNP', 'IN', 'NNP', 'FW', 'NNP', 'IN', 'DT', 'JJ', 'JJ', 'NN', ',', 'JJ', 'NN', 'NNS', 'DT', '``', 'JJ', 'NN', 'TO', 'VB', 'CC', 'VB', '.', ""''""]","['The', 'Paradox', 'of', 'Ownership', 'vs.', 'License', 'In', 'the', 'traditional', 'legal', 'sense', ',', 'physical', 'property', 'implies', 'an', '``', 'exclusive', 'right', 'to', 'use', 'and', 'dispose', '.', ""''""]",0.52,2.1824818282570927e-05,2.3240822041100118,0.0020101285547331517,0.1531,0.8185,0.23076923076923078,7,0.5769230769230769,0,1,0.038461538461538464,True,LLM,2026-05-15_143055
"However, in our digital paradigm, we are almost entirely subject to **Terms of Service (ToS) agreements.","['RB', ',', 'IN', 'PRP$', 'JJ', 'NN', ',', 'PRP', 'VBP', 'RB', 'RB', 'JJ', 'TO', 'VB', 'JJ', 'NNS', 'IN', 'NNP', '(', 'NNP', ')', 'NNS', '.']","['However', ',', 'in', 'our', 'digital', 'paradigm', ',', 'we', 'be', 'almost', 'entirely', 'subject', 'to', '*', '*', 'Terms', 'of', 'Service', '(', 'ToS', ')', 'agreement', '.']",0.5652173913043478,9.007817768536112e-05,3.0273891814760927,0.003135028845975476,0.2732,0.6984,0.23076923076923078,8,0.34782608695652173,0,0,0.0,True,LLM,2026-05-15_143055
"** We do not ""own"" our digital assets—our social media profiles, cloud-stored photographs, or digital libraries—in the way we own a book or a piece of land.","['JJ', 'NN', 'PRP', 'VBP', 'RB', '``', 'JJ', ""''"", 'PRP$', 'JJ', 'NNS', 'VBP', 'PRP$', 'JJ', 'NNS', 'NNS', ',', 'JJ', 'NN', ',', 'CC', 'JJ', 'NNS', 'VBP', 'IN', 'DT', 'NN', 'PRP', 'VBP', 'DT', 'NN', 'CC', 'DT', 'NN', 'IN', 'NN', '.']","['*', '*', 'We', 'do', 'not', '``', 'own', ""''"", 'our', 'digital', 'asset', '—', 'our', 'social', 'medium', 'profile', ',', 'cloud-stored', 'photograph', ',', 'or', 'digital', 'library', '—', 'in', 'the', 'way', 'we', 'own', 'a', 'book', 'or', 'a', 'piece', 'of', 'land', '.']",0.5675675675675675,7.788860950415324e-05,2.7721229985199516,0.0031836438617465716,0.0,0.9716,0.23076923076923078,8,0.15384615384615385,1,2,0.0,True,LLM,2026-05-15_143055
We hold a *revocable license* to access them.,"['PRP', 'VBP', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'TO', 'NN', 'PRP', '.']","['We', 'hold', 'a', '*', 'revocable', 'license', '*', 'to', 'access', 'them', '.']",0.5454545454545454,1.5008751057934843e-06,1.4975414470015609,0.0008180755746007013,0.0,0.9716,0.23076923076923078,3,0.09090909090909091,1,0,0.0,True,LLM,2026-05-15_143055
