sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The impact of social media algorithms on democratic stability.,"['NNS', 'VBP', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'VBP', 'IN', 'JJ', 'NN', '.']","['Lets', 'discuss', 'The', 'impact', 'of', 'social', 'medium', 'algorithms', 'on', 'democratic', 'stability', '.']",0.6666666666666666,2.7839583579940025e-06,1.1506657435926895,0.0014500473484848487,0.0,0.9909,0.2470626631853786,7,0.08333333333333333,0,0,0.08333333333333333,True,LLM,2026-05-15_141645
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9909,0.2470626631853786,1,0.0,0,0,0.0,True,LLM,2026-05-15_141645
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,1.1299070247933887e-06,1.360602686099615,0.00078125,0.0,0.9909,0.2470626631853786,3,0.2,0,0,0.0,True,LLM,2026-05-15_141645
To examine the impact of social media algorithms on democratic stability is to engage with one of the most pressing epistemological and political crises of the twenty-first century.,"['TO', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'VBP', 'IN', 'JJ', 'NN', 'VBZ', 'TO', 'VB', 'IN', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'JJ', 'CC', 'JJ', 'NNS', 'IN', 'DT', 'JJ', 'NN', '.']","['To', 'examine', 'the', 'impact', 'of', 'social', 'medium', 'algorithms', 'on', 'democratic', 'stability', 'be', 'to', 'engage', 'with', 'one', 'of', 'the', 'most', 'pressing', 'epistemological', 'and', 'political', 'crisis', 'of', 'the', 'twenty-first', 'century', '.']",0.5517241379310345,1.5771484375e-05,1.8273322261245386,0.0021732954545454547,0.34,0.6509,0.2470626631853786,10,0.3548387096774194,0,1,0.0,True,LLM,2026-05-15_141645
"As a scholar, I find it necessary to move beyond the superficial binary of ""social media as good or bad"" and instead analyze the structural mechanics of how these platforms reorganize the public sphere.","['IN', 'DT', 'NN', ',', 'PRP', 'VBP', 'PRP', 'JJ', 'TO', 'VB', 'IN', 'DT', 'JJ', 'NN', 'IN', '``', 'JJ', 'NNS', 'IN', 'JJ', 'CC', 'JJ', ""''"", 'CC', 'RB', 'VB', 'DT', 'JJ', 'NNS', 'IN', 'WRB', 'DT', 'NNS', 'VBP', 'DT', 'NN', 'RB', '.']","['As', 'a', 'scholar', ',', 'I', 'find', 'it', 'necessary', 'to', 'move', 'beyond', 'the', 'superficial', 'binary', 'of', '``', 'social', 'medium', 'a', 'good', 'or', 'bad', ""''"", 'and', 'instead', 'analyze', 'the', 'structural', 'mechanic', 'of', 'how', 'these', 'platform', 'reorganize', 'the', 'public', 'sphere', '.']",0.47368421052631576,1.150289822798954e-05,2.0892208475888805,0.0016233766233766233,-0.1531,1.1440000000000001,0.2470626631853786,8,0.13157894736842105,2,2,0.07894736842105263,False,LLM,2026-05-15_141645
"From a socio-technical perspective, we can categorize the destabilizing effects of algorithms into three primary vectors:

### 1.","['IN', 'DT', 'JJ', 'NN', ',', 'PRP', 'MD', 'VB', 'DT', 'JJ', 'NNS', 'IN', 'NN', 'IN', 'CD', 'JJ', 'NNS', ':', '#', '#', '#', 'CD', '.']","['From', 'a', 'socio-technical', 'perspective', ',', 'we', 'can', 'categorize', 'the', 'destabilizing', 'effect', 'of', 'algorithm', 'into', 'three', 'primary', 'vector', ':', '#', '#', '#', '1', '.']",0.34782608695652173,1.9727963445622736e-05,2.264305822128199,0.0019615800865800865,0.0,0.9909,0.2470626631853786,5,0.34615384615384615,0,0,-0.038461538461538464,True,LLM,2026-05-15_141645
"The Fragmentation of the ""Common Reality""
Democratic stability relies upon a baseline of shared facts—what Hannah Arendt famously described as the ""public world"" that exists between us.","['DT', 'NNP', 'IN', 'DT', '``', 'JJ', 'NN', ""''"", 'JJ', 'NN', 'VBZ', 'IN', 'DT', 'NN', 'IN', 'VBN', 'NNS', 'VBP', 'WP', 'NNP', 'NNP', 'RB', 'VBD', 'IN', 'DT', '``', 'JJ', 'NN', ""''"", 'WDT', 'VBZ', 'IN', 'PRP', '.']","['The', 'Fragmentation', 'of', 'the', '``', 'Common', 'Reality', ""''"", 'Democratic', 'stability', 'rely', 'upon', 'a', 'baseline', 'of', 'share', 'fact', '—', 'what', 'Hannah', 'Arendt', 'famously', 'describe', 'a', 'the', '``', 'public', 'world', ""''"", 'that', 'exist', 'between', 'u', '.']",0.5,1.35347840980831e-05,2.5475325442398766,0.0014441287878787879,0.34,0.6509,0.2470626631853786,9,0.3142857142857143,2,0,-0.05714285714285714,True,LLM,2026-05-15_141645
"Algorithms are fundamentally optimized for **engagement**, not veracity.","['NNP', 'VBP', 'RB', 'VBN', 'IN', 'NNP', 'NNP', 'NN', 'NNP', 'NNP', ',', 'RB', 'NN', '.']","['Algorithms', 'be', 'fundamentally', 'optimize', 'for', '*', '*', 'engagement', '*', '*', ',', 'not', 'veracity', '.']",0.7857142857142857,4.189627213390478e-07,1.3366625103842282,0.000484245867768595,0.4588,0.5321,0.2470626631853786,4,0.21428571428571427,0,0,0.21428571428571427,False,LLM,2026-05-15_141645
"Because human attention is most easily captured by content that evokes high-arousal emotions (indignation, fear, or tribal validation), algorithms prioritize polarizing content.","['IN', 'JJ', 'NN', 'VBZ', 'RBS', 'RB', 'VBN', 'IN', 'NN', 'WDT', 'VBZ', 'JJ', 'NNS', '(', 'NN', ',', 'NN', ',', 'CC', 'JJ', 'NN', ')', ',', 'JJ', 'NN', 'NN', 'NN', '.']","['Because', 'human', 'attention', 'be', 'most', 'easily', 'capture', 'by', 'content', 'that', 'evoke', 'high-arousal', 'emotion', '(', 'indignation', ',', 'fear', ',', 'or', 'tribal', 'validation', ')', ',', 'algorithms', 'prioritize', 'polarizing', 'content', '.']",0.6428571428571429,2.2368123708677684e-06,1.5714936642644621,0.0009517045454545454,-0.1298,1.1207,0.2470626631853786,9,0.2,1,1,0.1,False,LLM,2026-05-15_141645
"This leads to the creation of ""epistemic bubbles"" and ""echo chambers.""","['DT', 'VBZ', 'TO', 'DT', 'NN', 'IN', '``', 'JJ', 'NNS', ""''"", 'CC', '``', 'JJ', 'NNS', '.', ""''""]","['This', 'lead', 'to', 'the', 'creation', 'of', '``', 'epistemic', 'bubble', ""''"", 'and', '``', 'echo', 'chamber', '.', ""''""]",0.375,2.6471901551167984e-05,2.741078895893643,0.0018770292207792208,0.2732,0.7177,0.2470626631853786,7,0.0625,0,1,0.1875,False,LLM,2026-05-15_141645
