sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The influence of corporate lobbying on environmental policy.,"['NNS', 'VBP', 'DT', 'NN', 'IN', 'JJ', 'NN', 'IN', 'JJ', 'NN', '.']","['Lets', 'discuss', 'The', 'influence', 'of', 'corporate', 'lobbying', 'on', 'environmental', 'policy', '.']",0.6363636363636364,1.8406605424475015e-05,1.1564319841536679,0.00370993889512408,-0.0772,0.9221999999999999,0.25538020086083213,7,0.09090909090909091,0,0,0.18181818181818182,True,LLM,2026-05-15_143514
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9994,0.25538020086083213,1,0.0,0,0,0.0,True,LLM,2026-05-15_143514
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,1.0537387969689954e-06,1.360602686099615,0.0007544581618655693,0.0,0.9994,0.25538020086083213,3,0.2,0,0,0.0,True,LLM,2026-05-15_143514
The nexus between corporate lobbying and environmental policy is one of the most critical subjects in contemporary political economy.,"['DT', 'NN', 'IN', 'JJ', 'NN', 'CC', 'JJ', 'NN', 'VBZ', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'JJ', 'JJ', 'NN', '.']","['The', 'nexus', 'between', 'corporate', 'lobbying', 'and', 'environmental', 'policy', 'be', 'one', 'of', 'the', 'most', 'critical', 'subject', 'in', 'contemporary', 'political', 'economy', '.']",0.6,2.7431020094422527e-05,1.3947436075576618,0.003755144032921811,-0.4391,0.5603,0.25538020086083213,7,0.4,0,1,0.15,False,LLM,2026-05-15_143514
"To analyze this influence, one must look beyond simple ""corruption"" narratives and examine the structural mechanisms through which capital shapes regulatory landscapes.","['TO', 'VB', 'DT', 'NN', ',', 'CD', 'MD', 'VB', 'IN', 'JJ', '``', 'NN', ""''"", 'NNS', 'CC', 'VB', 'DT', 'JJ', 'NNS', 'IN', 'WDT', 'NN', 'NNS', 'JJ', 'NNS', '.']","['To', 'analyze', 'this', 'influence', ',', 'one', 'must', 'look', 'beyond', 'simple', '``', 'corruption', ""''"", 'narrative', 'and', 'examine', 'the', 'structural', 'mechanism', 'through', 'which', 'capital', 'shape', 'regulatory', 'landscape', '.']",0.5,1.552330857637272e-05,2.149008892855584,0.0018333860926453521,0.0,0.9994,0.25538020086083213,7,0.2692307692307692,2,1,-0.19230769230769232,False,LLM,2026-05-15_143514
"From a scholarly perspective, we can categorize the influence of corporate lobbying on environmental policy into four primary analytical dimensions:

### 1.","['IN', 'DT', 'JJ', 'NN', ',', 'PRP', 'MD', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NN', 'IN', 'JJ', 'NN', 'IN', 'CD', 'JJ', 'JJ', 'NNS', ':', '#', '#', '#', 'CD', '.']","['From', 'a', 'scholarly', 'perspective', ',', 'we', 'can', 'categorize', 'the', 'influence', 'of', 'corporate', 'lobbying', 'on', 'environmental', 'policy', 'into', 'four', 'primary', 'analytical', 'dimension', ':', '#', '#', '#', '1', '.']",0.4074074074074074,2.393003174388126e-05,1.5779408758836557,0.003100137174211248,-0.0772,0.9221999999999999,0.25538020086083213,7,0.25,0,0,-0.03571428571428571,True,LLM,2026-05-15_143514
"Information Asymmetry and Regulatory Capture
In the realm of environmental regulation—which is often highly technical—policymakers suffer from an ""information deficit.""","['NN', 'NNP', 'CC', 'NNP', 'NNP', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NN', 'NNP', 'WDT', 'VBZ', 'RB', 'RB', 'JJ', 'NN', 'NNS', 'VBP', 'IN', 'DT', '``', 'NN', 'NN', '.', ""''""]","['Information', 'Asymmetry', 'and', 'Regulatory', 'Capture', 'In', 'the', 'realm', 'of', 'environmental', 'regulation', '—', 'which', 'be', 'often', 'highly', 'technical', '—', 'policymakers', 'suffer', 'from', 'an', '``', 'information', 'deficit', '.', ""''""]",0.6296296296296297,1.6700052227098212e-05,2.4786189703139123,0.0016487285005803525,-0.5829,0.4165,0.25538020086083213,9,0.7142857142857143,1,1,0.10714285714285714,False,LLM,2026-05-15_143514
"Corporations, possessing deep internal data on production costs, technological feasibility, and supply chain impacts, act as the primary ""experts"" informing legislative drafts.","['NNS', ',', 'VBG', 'JJ', 'JJ', 'NNS', 'IN', 'NN', 'NNS', ',', 'JJ', 'NN', ',', 'CC', 'NN', 'NN', 'NNS', ',', 'NN', 'IN', 'DT', 'JJ', '``', 'NNS', ""''"", 'VBG', 'JJ', 'NNS', '.']","['Corporations', ',', 'possess', 'deep', 'internal', 'data', 'on', 'production', 'cost', ',', 'technological', 'feasibility', ',', 'and', 'supply', 'chain', 'impact', ',', 'act', 'a', 'the', 'primary', '``', 'expert', ""''"", 'inform', 'legislative', 'draft', '.']",0.6206896551724138,1.4504357133099625e-05,2.624928176900141,0.0014508810805107103,0.0,0.9994,0.25538020086083213,8,0.6206896551724138,1,1,-0.06896551724137931,True,LLM,2026-05-15_143514
"This creates a phenomenon known as **regulatory capture**, where the regulatory agency ends up advancing the commercial interests of the industry it is tasked with overseeing rather than the public interest.","['DT', 'VBZ', 'DT', 'NN', 'VBN', 'IN', 'JJ', 'NNP', 'JJ', 'NN', 'NNP', 'NNP', ',', 'WRB', 'DT', 'JJ', 'NN', 'VBZ', 'RP', 'VBG', 'DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'PRP', 'VBZ', 'VBN', 'IN', 'VBG', 'RB', 'IN', 'DT', 'JJ', 'NN', '.']","['This', 'create', 'a', 'phenomenon', 'know', 'a', '*', '*', 'regulatory', 'capture', '*', '*', ',', 'where', 'the', 'regulatory', 'agency', 'end', 'up', 'advance', 'the', 'commercial', 'interest', 'of', 'the', 'industry', 'it', 'be', 'task', 'with', 'oversee', 'rather', 'than', 'the', 'public', 'interest', '.']",0.5945945945945946,1.3332330817950108e-05,2.1153628244234315,0.0017261088248742569,0.7269,1.7263,0.25538020086083213,10,0.02702702702702703,2,0,0.16216216216216217,False,LLM,2026-05-15_143514
"By monopolizing the ""expert"" narrative, corporations can frame environmental protections as ""economically ruinous"" or ""technologically unfeasible,"" thereby forcing regulators to adopt watered-down, market-friendly provisions.","['IN', 'VBG', 'DT', '``', 'NN', ""''"", 'JJ', ',', 'NNS', 'MD', 'VB', 'JJ', 'NNS', 'IN', '``', 'RB', 'JJ', ""''"", 'CC', '``', 'RB', 'JJ', ',', ""''"", 'RB', 'VBG', 'NNS', 'TO', 'VB', 'JJ', ',', 'JJ', 'NNS', '.']","['By', 'monopolize', 'the', '``', 'expert', ""''"", 'narrative', ',', 'corporation', 'can', 'frame', 'environmental', 'protection', 'a', '``', 'economically', 'ruinous', ""''"", 'or', '``', 'technologically', 'unfeasible', ',', ""''"", 'thereby', 'force', 'regulator', 'to', 'adopt', 'watered-down', ',', 'market-friendly', 'provision', '.']",0.5294117647058824,1.5426626543181077e-05,2.5861835730406186,0.0015187144816774447,-0.5423,0.45709999999999995,0.25538020086083213,6,0.2631578947368421,1,1,-0.07894736842105263,False,LLM,2026-05-15_143514
