sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
"Lets discuss The future of work: remote, hybrid, or return to office.","['NNS', 'VBP', 'DT', 'NN', 'IN', 'NN', ':', 'NN', ',', 'JJ', ',', 'CC', 'VB', 'TO', 'NN', '.']","['Lets', 'discuss', 'The', 'future', 'of', 'work', ':', 'remote', ',', 'hybrid', ',', 'or', 'return', 'to', 'office', '.']",0.5,1.4608604504789126e-05,1.3201810531697094,0.0028951486697965574,0.0,0.9989,0.24597985509807385,7,0.0625,0,1,0.6875,False,LLM,2026-05-15_143136
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9989,0.24597985509807385,1,0.0,0,0,0.0,True,LLM,2026-05-15_143136
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,1.4449416023177842e-06,1.1817147304413242,0.0010172143974960877,0.0,0.9989,0.24597985509807385,3,0.2,0,0,0.0,True,LLM,2026-05-15_143136
"To analyze the future of work, one must move beyond the anecdotal frustrations of individual commutes or the convenience of home offices and instead examine the **socio-economic, architectural, and cognitive shifts** currently underway.","['TO', 'VB', 'DT', 'NN', 'IN', 'NN', ',', 'CD', 'MD', 'VB', 'IN', 'DT', 'JJ', 'NNS', 'IN', 'JJ', 'NNS', 'CC', 'DT', 'NN', 'IN', 'NN', 'NNS', 'CC', 'RB', 'VB', 'DT', 'JJ', 'NNP', 'JJ', ',', 'JJ', ',', 'CC', 'JJ', 'NNS', 'VBP', 'RB', 'RB', 'RB', '.']","['To', 'analyze', 'the', 'future', 'of', 'work', ',', 'one', 'must', 'move', 'beyond', 'the', 'anecdotal', 'frustration', 'of', 'individual', 'commute', 'or', 'the', 'convenience', 'of', 'home', 'office', 'and', 'instead', 'examine', 'the', '*', '*', 'socio-economic', ',', 'architectural', ',', 'and', 'cognitive', 'shift', '*', '*', 'currently', 'underway', '.']",0.5609756097560976,2.2807661673590685e-05,2.0925914019488383,0.002282211789254043,-0.4588,1.4577,0.24597985509807385,9,0.20930232558139536,1,3,0.13953488372093023,False,LLM,2026-05-15_143136
"As a scholar, I view this tension not as a fleeting trend, but as a fundamental renegotiation of the ""social contract"" between capital and labor.","['IN', 'DT', 'NN', ',', 'PRP', 'VBP', 'DT', 'NN', 'RB', 'IN', 'DT', 'JJ', 'NN', ',', 'CC', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', '``', 'JJ', 'NN', ""''"", 'IN', 'NN', 'CC', 'NN', '.']","['As', 'a', 'scholar', ',', 'I', 'view', 'this', 'tension', 'not', 'a', 'a', 'fleeting', 'trend', ',', 'but', 'a', 'a', 'fundamental', 'renegotiation', 'of', 'the', '``', 'social', 'contract', ""''"", 'between', 'capital', 'and', 'labor', '.']",0.4,2.0794312410749933e-05,2.6582855366682927,0.0017154207295052364,-0.2053,1.2042,0.24597985509807385,8,0.16666666666666666,0,2,0.1,False,LLM,2026-05-15_143136
We are witnessing a transition from the Industrial Age model of *presence-based productivity* to an Information Age model of *output-based performance*.,"['PRP', 'VBP', 'VBG', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NN', 'IN', 'JJ', 'JJ', 'NN', 'NNP', 'TO', 'DT', 'NNP', 'NNP', 'NN', 'IN', 'JJ', 'JJ', 'NN', 'NN', '.']","['We', 'be', 'witness', 'a', 'transition', 'from', 'the', 'Industrial', 'Age', 'model', 'of', '*', 'presence-based', 'productivity', '*', 'to', 'an', 'Information', 'Age', 'model', 'of', '*', 'output-based', 'performance', '*', '.']",0.6538461538461539,2.6202959803683875e-05,2.4921645920246713,0.0020539906103286387,0.0,0.9989,0.24597985509807385,8,0.06666666666666667,0,0,-0.16666666666666666,False,LLM,2026-05-15_143136
"Here is a breakdown of the three primary paradigms through the lens of institutional and cultural evolution:

### 1.","['RB', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'CD', 'JJ', 'NNS', 'IN', 'DT', 'NNS', 'IN', 'JJ', 'CC', 'JJ', 'NN', ':', '#', '#', '#', 'CD', '.']","['Here', 'be', 'a', 'breakdown', 'of', 'the', 'three', 'primary', 'paradigm', 'through', 'the', 'lens', 'of', 'institutional', 'and', 'cultural', 'evolution', ':', '#', '#', '#', '1', '.']",0.391304347826087,2.734748211955152e-05,2.465675383080849,0.0021209126101639072,0.0,0.9989,0.24597985509807385,8,0.041666666666666664,0,1,0.2916666666666667,False,LLM,2026-05-15_143136
"The Death of ""Presence as Value""
For the better part of the 20th century, physical presence in an office served as a proxy for diligence.","['DT', 'NNP', 'IN', '``', 'NNP', 'IN', 'NNP', ""''"", 'IN', 'DT', 'JJR', 'NN', 'IN', 'DT', 'JJ', 'NN', ',', 'JJ', 'NN', 'IN', 'DT', 'NN', 'VBD', 'IN', 'DT', 'NN', 'IN', 'NN', '.']","['The', 'Death', 'of', '``', 'Presence', 'a', 'Value', ""''"", 'For', 'the', 'good', 'part', 'of', 'the', '20th', 'century', ',', 'physical', 'presence', 'in', 'an', 'office', 'serve', 'a', 'a', 'proxy', 'for', 'diligence', '.']",0.4482758620689655,2.2712843368721578e-05,2.3460441561150764,0.0020314192849404116,0.1027,0.8962,0.24597985509807385,8,0.7666666666666667,0,0,0.23333333333333334,False,LLM,2026-05-15_143136
"In a manufacturing or clerical economy, proximity was essential for monitoring and synchronization.","['IN', 'DT', 'NN', 'CC', 'JJ', 'NN', ',', 'NN', 'VBD', 'JJ', 'IN', 'NN', 'CC', 'NN', '.']","['In', 'a', 'manufacturing', 'or', 'clerical', 'economy', ',', 'proximity', 'be', 'essential', 'for', 'monitoring', 'and', 'synchronization', '.']",0.5333333333333333,8.136300171243268e-07,1.2351154618421845,0.0007303077725612937,0.0,0.9989,0.24597985509807385,5,0.5333333333333333,0,2,0.26666666666666666,False,LLM,2026-05-15_143136
"However, the digital revolution has decoupled *labor* from *location*.","['RB', ',', 'DT', 'JJ', 'NN', 'VBZ', 'VBN', 'NNP', 'NN', 'NN', 'IN', 'JJ', 'NN', 'NN', '.']","['However', ',', 'the', 'digital', 'revolution', 'have', 'decouple', '*', 'labor', '*', 'from', '*', 'location', '*', '.']",0.7333333333333333,4.2777652603928986e-05,2.1341390699626746,0.003064684402712572,0.0,0.9989,0.24597985509807385,3,0.4,0,0,0.13333333333333333,True,LLM,2026-05-15_143136
"The resistance to returning to the office (RTO) is, in essence, a rejection of the archaic notion that surveillance equals productivity.","['DT', 'NN', 'TO', 'VBG', 'TO', 'DT', 'NN', '(', 'NNP', ')', 'VBZ', ',', 'IN', 'NN', ',', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NN', 'NNS', 'NN', '.']","['The', 'resistance', 'to', 'return', 'to', 'the', 'office', '(', 'RTO', ')', 'be', ',', 'in', 'essence', ',', 'a', 'rejection', 'of', 'the', 'archaic', 'notion', 'that', 'surveillance', 'equal', 'productivity', '.']",0.46153846153846156,2.485974550333512e-05,2.2722039703247265,0.002194325372525005,-0.5423,1.5412,0.24597985509807385,7,0.38461538461538464,0,0,0.34615384615384615,False,LLM,2026-05-15_143136
