sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The cultural significance of myth-making in the 21st century.,"['NNS', 'VBP', 'DT', 'JJ', 'NN', 'IN', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']","['Lets', 'discuss', 'The', 'cultural', 'significance', 'of', 'myth-making', 'in', 'the', '21st', 'century', '.']",0.5833333333333334,2.211729733308798e-05,1.7362011587566168,0.0027087316762268963,0.2732,1.2717,0.24044180118946473,5,0.07142857142857142,0,0,-0.07142857142857142,True,LLM,2026-05-15_143219
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9985,0.24044180118946473,1,0.0,0,0,0.0,True,LLM,2026-05-15_143219
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,7.955280792895818e-07,0.9718253158075502,0.0009177820267686424,0.0,0.9985,0.24044180118946473,3,0.2,0,0,0.0,True,LLM,2026-05-15_143219
To engage with the cultural significance of myth-making in the 21st century is to acknowledge that we are living through a profound transition in how human societies construct meaning.,"['TO', 'VB', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NN', 'IN', 'DT', 'JJ', 'NN', 'VBZ', 'TO', 'VB', 'IN', 'PRP', 'VBP', 'VBG', 'IN', 'DT', 'JJ', 'NN', 'IN', 'WRB', 'JJ', 'NNS', 'NN', 'NN', '.']","['To', 'engage', 'with', 'the', 'cultural', 'significance', 'of', 'myth-making', 'in', 'the', '21st', 'century', 'be', 'to', 'acknowledge', 'that', 'we', 'be', 'live', 'through', 'a', 'profound', 'transition', 'in', 'how', 'human', 'society', 'construct', 'meaning', '.']",0.5333333333333333,1.6611863936227033e-05,1.5462567131891454,0.002635891832832559,0.5423,1.5408,0.24044180118946473,9,0.4375,1,0,-0.09375,False,LLM,2026-05-15_143219
"In classical antiquity, myth functioned as an *aetiology*—a way to explain the origin of natural phenomena and social structures through the actions of the divine.","['IN', 'JJ', 'NN', ',', 'NN', 'VBD', 'IN', 'DT', 'JJ', 'NN', 'NNP', 'VBZ', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'CC', 'JJ', 'NNS', 'IN', 'DT', 'NNS', 'IN', 'DT', 'NN', '.']","['In', 'classical', 'antiquity', ',', 'myth', 'function', 'a', 'an', '*', 'aetiology', '*', '—', 'a', 'way', 'to', 'explain', 'the', 'origin', 'of', 'natural', 'phenomenon', 'and', 'social', 'structure', 'through', 'the', 'action', 'of', 'the', 'divine', '.']",0.5483870967741935,1.916042827135875e-05,2.433516764685973,0.001798739466043481,0.7269,1.7254,0.24044180118946473,9,0.17857142857142858,1,1,0.03571428571428571,True,LLM,2026-05-15_143219
"In the 21st century, however, we are witnessing a transition from **myth as religious dogma** to **myth as narrative architecture**.","['IN', 'DT', 'JJ', 'NN', ',', 'RB', ',', 'PRP', 'VBP', 'VBG', 'DT', 'NN', 'IN', 'JJ', 'NNP', 'NN', 'IN', 'JJ', 'NN', 'NNP', 'NNP', 'TO', 'VB', 'NNP', 'NN', 'IN', 'JJ', 'NN', 'NNP', 'NNP', '.']","['In', 'the', '21st', 'century', ',', 'however', ',', 'we', 'be', 'witness', 'a', 'transition', 'from', '*', '*', 'myth', 'a', 'religious', 'dogma', '*', '*', 'to', '*', '*', 'myth', 'a', 'narrative', 'architecture', '*', '*', '.']",0.6451612903225806,2.9038446171547223e-05,1.4091537480751648,0.0038240917782026767,0.0,0.9985,0.24044180118946473,5,0.2903225806451613,0,0,0.1935483870967742,False,LLM,2026-05-15_143219
"Here are my thoughts on why this shift is not merely a modern affectation, but an essential psychological and sociological necessity.","['RB', 'VBP', 'PRP$', 'NNS', 'IN', 'WRB', 'DT', 'NN', 'VBZ', 'RB', 'RB', 'DT', 'JJ', 'NN', ',', 'CC', 'DT', 'JJ', 'JJ', 'CC', 'JJ', 'NN', '.']","['Here', 'be', 'my', 'thought', 'on', 'why', 'this', 'shift', 'be', 'not', 'merely', 'a', 'modern', 'affectation', ',', 'but', 'an', 'essential', 'psychological', 'and', 'sociological', 'necessity', '.']",0.5652173913043478,1.101337105210196e-06,1.1688691731895924,0.0008978302435780197,0.0,0.9985,0.24044180118946473,6,0.043478260869565216,0,2,0.08695652173913043,True,LLM,2026-05-15_143219
### 1.,"['#', '#', '#', 'CD', '.']","['#', '#', '#', '1', '.']",0.0,8.124265515620728e-07,1.4142135623730951,0.0006373486297004461,0.0,0.9985,0.24044180118946473,2,0.4,0,0,0.0,True,LLM,2026-05-15_143219
"The Secularization of Archetypes
We often mistake the decline of traditional religious practice for the decline of mythic thinking.","['DT', 'NNP', 'IN', 'NNP', 'PRP', 'RB', 'VBP', 'DT', 'NN', 'IN', 'JJ', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NN', '.']","['The', 'Secularization', 'of', 'Archetypes', 'We', 'often', 'mistake', 'the', 'decline', 'of', 'traditional', 'religious', 'practice', 'for', 'the', 'decline', 'of', 'mythic', 'thinking', '.']",0.55,1.6961181446939812e-05,2.461623821125944,0.001673040152963671,-0.34,0.6585000000000001,0.24044180118946473,8,0.047619047619047616,1,0,0.19047619047619047,False,LLM,2026-05-15_143219
"In reality, modern culture has simply ""re-housed"" myth.","['IN', 'NN', ',', 'JJ', 'NN', 'VBZ', 'RB', '``', 'JJ', ""''"", 'NN', '.']","['In', 'reality', ',', 'modern', 'culture', 'have', 'simply', '``', 're-housed', ""''"", 'myth', '.']",0.5833333333333334,2.6228175683992063e-05,1.7280409612185053,0.0029636711281070746,0.0,0.9985,0.24044180118946473,3,0.8571428571428571,0,0,-0.6428571428571429,False,LLM,2026-05-15_143219
