sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
"Lets discuss The morality of genetic engineering and ""designer babies.""","['NNS', 'VBP', 'DT', 'NN', 'IN', 'JJ', 'NN', 'CC', '``', 'NN', 'NNS', '.', ""''""]","['Lets', 'discuss', 'The', 'morality', 'of', 'genetic', 'engineering', 'and', '``', 'designer', 'baby', '.', ""''""]",0.5384615384615384,3.6489244729101765e-06,1.8663813922628574,0.0010234863176039647,0.0,0.999,0.23299062594496522,6,0.07692307692307693,0,1,0.15384615384615385,True,LLM,2026-05-15_141813
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.999,0.23299062594496522,1,0.0,0,0,0.0,True,LLM,2026-05-15_141813
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,1.078862917716106e-06,0.9888264649460882,0.0010504201680672268,0.0,0.999,0.23299062594496522,3,0.2,0,0,0.0,True,LLM,2026-05-15_141813
"To examine the morality of genetic engineering and the prospect of ""designer babies,"" one must move beyond the immediate technical feasibility and engage with the teleological, deontological, and consequentialist frameworks that have defined moral philosophy for centuries.","['TO', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NN', 'CC', 'DT', 'NN', 'IN', '``', 'NN', 'NNS', ',', ""''"", 'CD', 'MD', 'VB', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'CC', 'NN', 'IN', 'DT', 'JJ', ',', 'JJ', ',', 'CC', 'NN', 'NNS', 'WDT', 'VBP', 'VBN', 'JJ', 'NN', 'IN', 'NNS', '.']","['To', 'examine', 'the', 'morality', 'of', 'genetic', 'engineering', 'and', 'the', 'prospect', 'of', '``', 'designer', 'baby', ',', ""''"", 'one', 'must', 'move', 'beyond', 'the', 'immediate', 'technical', 'feasibility', 'and', 'engage', 'with', 'the', 'teleological', ',', 'deontological', ',', 'and', 'consequentialist', 'framework', 'that', 'have', 'define', 'moral', 'philosophy', 'for', 'century', '.']",0.4883720930232558,1.2120294296189866e-05,2.1481658861194726,0.0016206482593037214,0.5574,1.5564,0.23299062594496522,7,0.4186046511627907,2,3,0.046511627906976744,True,LLM,2026-05-15_141813
"As a scholar, I view this issue not as a binary choice between ""progress"" and ""tradition,"" but as a profound shift in the human condition—a transition from being the *products* of evolutionary chance to becoming the *architects* of our own biological destiny.","['IN', 'DT', 'NN', ',', 'PRP', 'VBP', 'DT', 'NN', 'RB', 'IN', 'DT', 'JJ', 'NN', 'IN', '``', 'NN', ""''"", 'CC', '``', 'NN', ',', ""''"", 'CC', 'IN', 'DT', 'NN', 'NN', 'IN', 'DT', 'JJ', 'NN', 'VBD', 'DT', 'NN', 'IN', 'VBG', 'DT', 'NN', 'NNS', 'CD', 'IN', 'JJ', 'NN', 'TO', 'VBG', 'DT', 'JJ', 'NNS', 'NN', 'IN', 'PRP$', 'JJ', 'JJ', 'NN', '.']","['As', 'a', 'scholar', ',', 'I', 'view', 'this', 'issue', 'not', 'a', 'a', 'binary', 'choice', 'between', '``', 'progress', ""''"", 'and', '``', 'tradition', ',', ""''"", 'but', 'a', 'a', 'profound', 'shift', 'in', 'the', 'human', 'condition', '—', 'a', 'transition', 'from', 'be', 'the', '*', 'product', '*', 'of', 'evolutionary', 'chance', 'to', 'become', 'the', '*', 'architect', '*', 'of', 'our', 'own', 'biological', 'destiny', '.']",0.4727272727272727,1.3831410137306443e-05,2.0749243308871566,0.0017923836201147124,0.3612,1.3602,0.23299062594496522,8,0.09090909090909091,0,2,0.07272727272727272,False,LLM,2026-05-15_141813
"Here are the primary dimensions of the discourse:

### 1.","['RB', 'VBP', 'DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', ':', '#', '#', '#', 'CD', '.']","['Here', 'be', 'the', 'primary', 'dimension', 'of', 'the', 'discourse', ':', '#', '#', '#', '1', '.']",0.35714285714285715,3.0501586471568044e-05,2.4097922660329245,0.002291825821237586,0.0,0.999,0.23299062594496522,5,0.06666666666666667,0,0,0.13333333333333333,True,LLM,2026-05-15_141813
"The Erosion of Human Agency and the ""Giftedness"" of Life
Michael Sandel, in his critique of genetic enhancement, argues that we risk losing the ""appreciation of life as a gift.""","['DT', 'NNP', 'IN', 'NNP', 'NNP', 'CC', 'DT', '``', 'NNP', ""''"", 'IN', 'NNP', 'NNP', 'NNP', ',', 'IN', 'PRP$', 'NN', 'IN', 'JJ', 'NN', ',', 'VBZ', 'IN', 'PRP', 'VBP', 'VBG', 'DT', '``', 'NN', 'IN', 'NN', 'IN', 'DT', 'NN', '.', ""''""]","['The', 'Erosion', 'of', 'Human', 'Agency', 'and', 'the', '``', 'Giftedness', ""''"", 'of', 'Life', 'Michael', 'Sandel', ',', 'in', 'his', 'critique', 'of', 'genetic', 'enhancement', ',', 'argue', 'that', 'we', 'risk', 'lose', 'the', '``', 'appreciation', 'of', 'life', 'a', 'a', 'gift', '.', ""''""]",0.43243243243243246,2.0940429548725812e-05,2.2404445622988964,0.002042483660130719,-0.4588,0.5402,0.23299062594496522,8,0.6052631578947368,1,1,0.23684210526315788,False,LLM,2026-05-15_141813
"When we treat children as projects to be optimized—selecting for height, intellect, or temperament—we fundamentally alter the parent-child relationship.","['WRB', 'PRP', 'VBP', 'NNS', 'IN', 'NNS', 'TO', 'VB', 'VBN', 'JJ', 'VBG', 'IN', 'NN', ',', 'NN', ',', 'CC', 'JJ', 'NN', 'PRP', 'RB', 'VBP', 'DT', 'JJ', 'NN', '.']","['When', 'we', 'treat', 'child', 'a', 'project', 'to', 'be', 'optimize', '—', 'select', 'for', 'height', ',', 'intellect', ',', 'or', 'temperament', '—', 'we', 'fundamentally', 'alter', 'the', 'parent-child', 'relationship', '.']",0.5769230769230769,2.4917302255792415e-05,2.325505851620726,0.002146510778224333,0.6908,1.6898,0.23299062594496522,10,0.75,3,1,0.10714285714285714,False,LLM,2026-05-15_141813
"Parenthood traditionally involves an ""openness to the unbidden.""","['NNP', 'RB', 'VBZ', 'DT', '``', 'NN', 'TO', 'DT', 'JJ', '.', ""''""]","['Parenthood', 'traditionally', 'involve', 'an', '``', 'openness', 'to', 'the', 'unbidden', '.', ""''""]",0.45454545454545453,3.056643172582597e-05,2.3793065467611174,0.002323656735421441,0.34,1.339,0.23299062594496522,5,0.18181818181818182,0,0,0.0,True,LLM,2026-05-15_141813
"If a child is manufactured to specification, they risk being seen as a product of their parents' will rather than an independent being.","['IN', 'DT', 'NN', 'VBZ', 'VBN', 'TO', 'NN', ',', 'PRP', 'VBP', 'VBG', 'VBN', 'IN', 'DT', 'NN', 'IN', 'PRP$', 'NNS', 'POS', 'MD', 'RB', 'IN', 'DT', 'JJ', 'VBG', '.']","['If', 'a', 'child', 'be', 'manufacture', 'to', 'specification', ',', 'they', 'risk', 'be', 'see', 'a', 'a', 'product', 'of', 'their', 'parent', ""'"", 'will', 'rather', 'than', 'an', 'independent', 'be', '.']",0.46153846153846156,1.379015318000839e-06,1.3195448467279174,0.0008899393090569561,-0.2732,0.7258,0.23299062594496522,7,0.34615384615384615,1,0,-0.038461538461538464,True,LLM,2026-05-15_141813
