sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The viability of a universal basic income in an automated economy.,"['NNS', 'VBP', 'DT', 'NN', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']","['Lets', 'discuss', 'The', 'viability', 'of', 'a', 'universal', 'basic', 'income', 'in', 'an', 'automated', 'economy', '.']",0.5714285714285714,2.4373698235484132e-06,1.171025949818333,0.001333196595221003,0.0,0.9953,0.25419039869812854,7,0.07142857142857142,0,0,-0.07142857142857142,True,LLM,2026-05-15_141600
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9953,0.25419039869812854,1,0.0,0,0,0.0,True,LLM,2026-05-15_141600
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,8.760858955839602e-07,1.30384048104053,0.0007178750897343862,0.0,0.9953,0.25419039869812854,3,0.2,0,0,0.0,True,LLM,2026-05-15_141600
"To examine the viability of a Universal Basic Income (UBI) within an increasingly automated economy, we must first pivot away from viewing UBI as a mere welfare expansion.","['TO', 'VB', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', '(', 'NNP', ')', 'IN', 'DT', 'RB', 'JJ', 'NN', ',', 'PRP', 'MD', 'RB', 'VB', 'RB', 'IN', 'VBG', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'NN', '.']","['To', 'examine', 'the', 'viability', 'of', 'a', 'Universal', 'Basic', 'Income', '(', 'UBI', ')', 'within', 'an', 'increasingly', 'automated', 'economy', ',', 'we', 'must', 'first', 'pivot', 'away', 'from', 'view', 'UBI', 'a', 'a', 'mere', 'welfare', 'expansion', '.']",0.53125,9.31642911282675e-06,1.918118648802709,0.001591289782244556,0.0,0.9953,0.25419039869812854,8,0.65625,1,0,-0.03125,True,LLM,2026-05-15_141600
"Instead, we should conceptualize it as a **structural adjustment mechanism**—a necessary evolution of the social contract in an era where the traditional nexus between human labor and capital distribution is being severed.","['RB', ',', 'PRP', 'MD', 'VB', 'PRP', 'IN', 'DT', 'JJ', 'JJ', 'JJ', 'NN', 'NN', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'WRB', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NN', 'CC', 'NN', 'NN', 'VBZ', 'VBG', 'VBN', '.']","['Instead', ',', 'we', 'should', 'conceptualize', 'it', 'a', 'a', '*', '*', 'structural', 'adjustment', 'mechanism', '*', '*', '—', 'a', 'necessary', 'evolution', 'of', 'the', 'social', 'contract', 'in', 'an', 'era', 'where', 'the', 'traditional', 'nexus', 'between', 'human', 'labor', 'and', 'capital', 'distribution', 'be', 'be', 'sever', '.']",0.6,1.12740580627873e-05,1.7052500122171725,0.0019690288175571737,-0.3612,1.3565,0.25419039869812854,9,0.1111111111111111,1,1,-0.19444444444444445,False,LLM,2026-05-15_141600
"From a scholarly perspective, the viability of UBI in this context rests upon four critical pillars: the decoupling of productivity from labor, the fiscal machinery of redistribution, the preservation of social cohesion, and the psychological redefinition of ""purpose.""","['IN', 'DT', 'JJ', 'NN', ',', 'DT', 'NN', 'IN', 'NNP', 'IN', 'DT', 'NN', 'VBZ', 'IN', 'CD', 'JJ', 'NNS', ':', 'DT', 'NN', 'IN', 'NN', 'IN', 'NN', ',', 'DT', 'JJ', 'NN', 'IN', 'NN', ',', 'DT', 'NN', 'IN', 'JJ', 'NN', ',', 'CC', 'DT', 'JJ', 'NN', 'IN', '``', 'JJ', '.', ""''""]","['From', 'a', 'scholarly', 'perspective', ',', 'the', 'viability', 'of', 'UBI', 'in', 'this', 'context', 'rest', 'upon', 'four', 'critical', 'pillar', ':', 'the', 'decoupling', 'of', 'productivity', 'from', 'labor', ',', 'the', 'fiscal', 'machinery', 'of', 'redistribution', ',', 'the', 'preservation', 'of', 'social', 'cohesion', ',', 'and', 'the', 'psychological', 'redefinition', 'of', '``', 'purpose', '.', ""''""]",0.43478260869565216,7.56441800167836e-06,1.902031930995331,0.0014460055378935494,-0.3182,1.3135,0.25419039869812854,7,0.2608695652173913,0,1,0.2391304347826087,False,LLM,2026-05-15_141600
### 1.,"['#', '#', '#', 'CD', '.']","['#', '#', '#', '1', '.']",0.0,4.580841284099139e-07,1.4142135623730951,0.0004785833931562575,0.0,0.9953,0.25419039869812854,2,0.4,0,0,0.0,True,LLM,2026-05-15_141600
"The Decoupling of Productivity and Labor
Historically, the primary mechanism for distributing the fruits of economic growth was wages.","['DT', 'NNP', 'IN', 'NNP', 'CC', 'NNP', 'NNP', ',', 'DT', 'JJ', 'NN', 'IN', 'VBG', 'DT', 'NNS', 'IN', 'JJ', 'NN', 'VBD', 'NNS', '.']","['The', 'Decoupling', 'of', 'Productivity', 'and', 'Labor', 'Historically', ',', 'the', 'primary', 'mechanism', 'for', 'distribute', 'the', 'fruit', 'of', 'economic', 'growth', 'be', 'wage', '.']",0.5714285714285714,1.166663187495505e-05,3.0133960170471377,0.0011334869837911362,0.3818,0.6134999999999999,0.25419039869812854,9,0.8636363636363636,0,1,0.3181818181818182,False,LLM,2026-05-15_141600
"As artificial intelligence and robotics approach ""general purpose"" capability, we witness a decoupling: productivity rises, but the labor share of national income falls.","['IN', 'JJ', 'NN', 'CC', 'NNS', 'VBP', '``', 'JJ', 'NN', ""''"", 'NN', ',', 'PRP', 'VBP', 'DT', 'NN', ':', 'NN', 'VBZ', ',', 'CC', 'DT', 'NN', 'NN', 'IN', 'JJ', 'NN', 'NNS', '.']","['As', 'artificial', 'intelligence', 'and', 'robotics', 'approach', '``', 'general', 'purpose', ""''"", 'capability', ',', 'we', 'witness', 'a', 'decoupling', ':', 'productivity', 'rise', ',', 'but', 'the', 'labor', 'share', 'of', 'national', 'income', 'fall', '.']",0.5517241379310345,1.0079950620727892e-05,1.9199001185886337,0.0016536765459952824,0.5927,0.40259999999999996,0.25419039869812854,6,0.4482758620689655,0,2,-0.13793103448275862,False,LLM,2026-05-15_141600
"In a purely capitalist framework, the owners of the capital (the algorithms and hardware) capture the entirety of the efficiency gains.","['IN', 'DT', 'RB', 'JJ', 'NN', ',', 'DT', 'NNS', 'IN', 'DT', 'NN', '(', 'DT', 'NN', 'CC', 'NN', ')', 'NN', 'DT', 'NN', 'IN', 'DT', 'NN', 'NNS', '.']","['In', 'a', 'purely', 'capitalist', 'framework', ',', 'the', 'owner', 'of', 'the', 'capital', '(', 'the', 'algorithm', 'and', 'hardware', ')', 'capture', 'the', 'entirety', 'of', 'the', 'efficiency', 'gain', '.']",0.44,1.1047378725233179e-05,2.684056405921852,0.0012383345297918163,0.5994,0.3958999999999999,0.25419039869812854,5,0.68,0,1,0.0,True,LLM,2026-05-15_141600
