src,loc,no. tokens,no. nodes,no. functions,avg variable length,max depth,control density,complexity,label,timestamp
"#!/usr/bin/python
# -*- coding: utf-8 -*-
# #*** <License> ************************************************************#
# This module is part of the repository CNDB.
#
# This module is licensed under the terms of the BSD 3-Clause License
# <http://www.c-tanzer.at/license/bsd_3c.html>.
# #*** </License> ***********************************************************#

from   _TFL.pyk           import pyk

from   rsclib.HTML_Parse  import tag, Page_Tree
from   rsclib.autosuper   import autosuper
from   spider.common      import Interface, Inet4, Inet6, unroutable
from   spider.common      import WLAN_Config
from   spider.luci        import Version_Mixin

class Status (Page_Tree, Version_Mixin) :
    url          = 'cgi-bin/luci/freifunk/status/status'
    retries      = 2
    timeout      = 10
    html_charset = 'utf-8' # force utf-8 encoding

    wl_names = dict \
        ( ssid    = 'ssid'
        , _bsiid  = 'bssid'
        , channel = 'channel'
        , mode    = 'mode'
        )

    def parse (self) :
        root  = self.tree.getroot ()
        self.wlans  = []
        self.routes = {}
        for div in root.findall ("".//%s"" % tag (""div"")) :
            id = div.get ('id')
            if id == 'cbi-wireless' :
                wlan_div = div
            elif id == 'cbi-routes' :
                route_div = div
            self.try_get_version (div)
        for d in self.tbl_iter (wlan_div) :
            for k, newkey in pyk.iteritems (self.wl_names) :
                if k in d :
                    d [newkey] = d [k]
            wl = WLAN_Config (** d)
            self.wlans.append (wl)
        for d in self.tbl_iter (route_div) :
            iface = d.get ('iface')
            gw    = d.get ('gateway')
            if iface and gw :
                self.routes [iface] = gw
        self.set_version (root)
    # end def parse

    def tbl_iter (self, div) :
        tbl = div.find ("".//%s"" % tag (""table""))
        assert tbl.get ('class') == 'cbi-section-table'
        d = {}
        for tr in tbl :
            if 'cbi-section-table-row' not in tr.get ('class').split () :
                continue
            for input in tr.findall ("".//%s"" % tag ('input')) :
                name = input.get ('id').split ('.') [-1]
                val  = input.get ('value')
                d [name] = val
            if not d :
                continue
            yield d
    # end def tbl_iter

# end class Status

class Table_Iter (Page_Tree) :

    def table_iter (self) :
        root  = self.tree.getroot ()
        for div in root.findall ("".//%s"" % tag (""div"")) :
            if div.get ('id') == 'maincontent' :
                break
        tbl = div.find ("".//%s"" % tag (""table""))
        if tbl is None :
            return
        for tr in tbl :
            if tr [0].tag == tag ('th') :
                continue
            yield (self.tree.get_text (x) for x in tr)
    # end def table_iter

# end class Table_Iter

class OLSR_Connections (Table_Iter) :
    url          = 'cgi-bin/luci/freifunk/olsr/'
    retries      = 2
    timeout      = 10
    html_charset = 'utf-8' # force utf-8 encoding

    def parse (self) :
        self.neighbors = {}
        for l in self.table_iter () :
            neighbor, ip, lq, nlq, etx = l
            lq, nlq, etx = (float (x) for x in (lq, nlq, etx))
            self.neighbors [neighbor] = [ip, lq, nlq, etx]
    # end def parse

# end class OLSR_Connections

class OLSR_Routes (Table_Iter) :
    url          = 'cgi-bin/luci/freifunk/olsr/routes'
    retries      = 2
    timeout      = 10
    html_charset = 'utf-8' # force utf-8 encoding

    def parse (self) :
        self.iface_by_gw = {}
        for l in self.table_iter () :
            announced, gw, iface, metric, etx = l
            if gw in self.iface_by_gw :
                assert iface == self.iface_by_gw [gw]
            else :
                self.iface_by_gw [gw] = iface
    # end def parse

# end class OLSR_Routes

class OpenWRT (autosuper) :

    def __init__ (self, site, request) :
        self.site    = site
        self.request = request
        if 'interfaces' in self.request or 'ips' in self.request :
            st    = Status           (site = site)
            conn  = OLSR_Connections (site = site)
            route = OLSR_Routes      (site = site)
            self.version = st.version
            assert len (st.wlans) <= 1
            interfaces   = {}
            ips          = {}
            count = 0
            for gw, ifname in pyk.iteritems (route.iface_by_gw) :
                ip, lq, nlq, etx  = conn.neighbors [gw]
                i4 = Inet4 (ip, None, None, iface = ifname)
                ips [i4] = 1
                is_wlan = True
                if lq == nlq == etx == 1.0 :
                    is_wlan = False
                if ifname in interfaces :
                    iface = interfaces [ifname]
                    if not iface.is_wlan and is_wlan :
                        iface.is_wlan   = True
                        iface.wlan_info = st.wlans [0]
                else :
                    iface = Interface (count, ifname, None)
                    iface.is_wlan = is_wlan
                    if is_wlan :
                        iface.wlan_info = st.wlans [0]
                    count += 1
                    interfaces [ifname] = iface
                if i4 not in iface.inet4 :
                    iface.append_inet4 (i4)
            wl_if = None
            for iface in pyk.itervalues (interfaces) :
                if iface.is_wlan :
                    if wl_if :
                        m = ""Duplicate wlan: %s/%s"" % (iface.name, wl_if.name)
                        raise ValueError (m)
                    wl_if = iface
            # check own ip
            n  = 'unknown'
            i4 = Inet4 (self.request ['ip'], None, None, iface = n)
            if i4 not in ips :
                assert n not in interfaces
                iface = interfaces [n] = Interface (count, n, None)
                iface.append_inet4 (i4)
                iface.is_wlan = False
                if not wl_if and st.wlans :
                    iface.is_wlan   = True
                    iface.wlan_info = st.wlans [0]
                ips [i4] = True

            self.request ['ips']        = ips
            self.request ['interfaces'] = interfaces
            self.request ['version']    = st.version
    # end def __init__

# end class OpenWRT
",146,1025,1724,6,4.704918032786885,19,0.21232876712328766,7.333333333333333,HUMAN,2026-05-15_1405
"# UCF Senior Design 2017-18
# Group 38

from PIL import Image
import cv2
import imagehash
import math
import numpy as np

DIFF_THRES = 20
LIMIT = 2
RESIZE = 1000


def calc_hash(img):
    """"""
    Calculate the wavelet hash of the image
        img: (ndarray) image file
    """"""
    # resize image if height > 1000
    img = resize(img)
    return imagehash.whash(Image.fromarray(img))


def compare(hash1, hash2):
    """"""
    Calculate the difference between two images
        hash1: (array) first wavelet hash
        hash2: (array) second wavelet hash
    """"""
    return hash1 - hash2


def limit(img, std_hash, count):
    """"""
    Determine whether image should be removed from image dictionary in main.py
        img: (ndarray) image file
        std_hash: (array) wavelet hash of comparison standard
        count: (int) global count of images similar to comparison standard
    """"""
    # calculate hash for given image
    cmp_hash = calc_hash(img)

    # compare to standard
    diff = compare(std_hash, cmp_hash)

    # image is similar to standard
    if diff <= DIFF_THRES:
        # if there are 3 similar images already, remove image
        if count >= LIMIT:
            return 'remove'

    # non-similar image found
    else:
        # update comparison standard
        return 'update_std'

    # else continue reading images with same standard
    return 'continue'


def resize(img):
    """"""
    Resize an image
        img: (ndarray) RGB color image
    """"""
    # get dimensions of image
    width = np.shape(img)[1]
    height = np.shape(img)[0]

    # if height of image is greater than 1000, resize it to 1000
    if width > RESIZE:
        # keep resize proportional
        scale = RESIZE / width
        resized_img = cv2.resize(
            img, (RESIZE, math.floor(height / scale)), cv2.INTER_AREA)
        # return resized image
        return resized_img

    # if height of image is less than 1000, return image unresized
    return img


def set_standard(images, filename):
    """"""
    Set new comparison standard and update information
        images: (dictionary) dictionary containing all the image data
        filename: (String) name of the image file
    """"""
    return filename, calc_hash(images[filename]), 0
",33,193,339,5,6.3,14,0.09090909090909091,1.6,HUMAN,2026-05-15_1405
"# Copyright 2018 Google LLC
#
# Licensed under the Apache License, Version 2.0 (the ""License"");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#      http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an ""AS IS"" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

from .cli.cli import main

# TODO(hongyes): add more commands:
# kfp compile (migrate from dsl-compile)
# kfp experiment (manage experiments)

if __name__ == '__main__':
    main()
",3,15,46,0,0.0,7,0.3333333333333333,0.0,HUMAN,2026-05-15_1405
"import time

from PyQt5 import QtGui, QtCore

from ui.room_item import Ui_Form
from PyQt5.QtWidgets import QWidget

class Room_Item(QWidget,Ui_Form):
    def __init__(self,parent=None,room_data=None):
        super(Room_Item,self).__init__(parent)
        self.setupUi(self)
        self.data = room_data
        self.setRoomInfo()

    def setRoomInfo(self):
        self.room_name.setText('{}({})'.format(self.data['naturalName'], self.data['roomName']))
        self.description.setText(""<a style='color:#BCBCBC'>{}</a>"".format(self.data['description']))
        timeStamp = int(self.data['creationDate']) / 1000
        timeArray = time.localtime(timeStamp)
        otherStyleTime = time.strftime(""%Y-%m-%d"", timeArray)
        self.create_time.setText(""<a style='color:#BCBCBC'>{}</a>"".format(otherStyleTime))
        members = len(self.data['owners']) + len(self.data['admins']) + len(self.data['members'])
        memberCounter = ""<a style='color:#BCBCBC'>{}/{}</a>"".format(members, ('∞' if self.data['maxUsers']==0 else self.data['maxUsers']))
        self.member.setText(memberCounter)",20,229,395,2,10.166666666666666,15,0.0,1.5,HUMAN,2026-05-15_1405
"import asyncio
import re
import sys
import traceback

import toga
from toga import Key
from .keys import toga_to_winforms_key

from .libs import Threading, WinForms, shcore, user32, win_version
from .libs.proactor import WinformsProactorEventLoop
from .window import Window


class MainWindow(Window):
    def winforms_FormClosing(self, sender, event):
        if not self.interface.app._impl._is_exiting:
            event.Cancel = not self.interface.app.exit()


class App:
    _MAIN_WINDOW_CLASS = MainWindow

    def __init__(self, interface):
        self.interface = interface
        self.interface._impl = self

        # Winforms app exit is tightly bound to the close of the MainWindow.
        # The FormClosing message on MainWindow calls app.exit(), which
        # will then trigger the ""on_exit"" handler (which might abort the
        # close). However, if app.exit() succeeds, it will request the
        # Main Window to close... which calls app.exit().
        # So - we have a flag that is only ever sent once a request has been
        # made to exit the native app. This flag can be used to shortcut any
        # window-level close handling.
        self._is_exiting = False

        self.loop = WinformsProactorEventLoop()
        asyncio.set_event_loop(self.loop)

    def create(self):
        self.native = WinForms.Application
        self.app_context = WinForms.ApplicationContext()

        # Check the version of windows and make sure we are setting the DPI mode
        # with the most up to date API
        # Windows Versioning Check Sources : https://www.lifewire.com/windows-version-numbers-2625171
        # and https://docs.microsoft.com/en-us/windows/release-information/
        if win_version.Major >= 6:  # Checks for Windows Vista or later
            # Represents Windows 8.1 up to Windows 10 before Build 1703 which should use
            # SetProcessDpiAwareness(True)
            if ((win_version.Major == 6 and win_version.Minor == 3) or
                    (win_version.Major == 10 and win_version.Build < 15063)):
                shcore.SetProcessDpiAwareness(True)
            # Represents Windows 10 Build 1703 and beyond which should use
            # SetProcessDpiAwarenessContext(-2)
            elif win_version.Major == 10 and win_version.Build >= 15063:
                user32.SetProcessDpiAwarenessContext(-2)
            # Any other version of windows should use SetProcessDPIAware()
            else:
                user32.SetProcessDPIAware()

        self.native.EnableVisualStyles()
        self.native.SetCompatibleTextRenderingDefault(False)

        self.interface.commands.add(
            toga.Command(
                lambda _: self.interface.about(),
                'About {}'.format(self.interface.name),
                group=toga.Group.HELP
            ),
            toga.Command(None, 'Preferences', group=toga.Group.FILE),
            # Quit should always be the last item, in a section on it's own
            toga.Command(
                lambda _: self.interface.exit(),
                'Exit ' + self.interface.name,
                shortcut=Key.MOD_1 + 'q',
                group=toga.Group.FILE,
                section=sys.maxsize
            ),
            toga.Command(
                lambda _: self.interface.visit_homepage(),
                'Visit homepage',
                enabled=self.interface.home_page is not None,
                group=toga.Group.HELP
            )
        )
        self._create_app_commands()

        # Call user code to populate the main window
        self.interface.startup()
        self.create_menus()
        self.interface.icon.bind(self.interface.factory)
        self.interface.main_window._impl.set_app(self)

    def create_menus(self):
        self._menu_items = {}
        self._menu_groups = {}

        toga.Group.FILE.order = 0
        menubar = WinForms.MenuStrip()
        submenu = None
        for cmd in self.interface.commands:
            if cmd == toga.GROUP_BREAK:
                submenu = None
            elif cmd == toga.SECTION_BREAK:
                submenu.DropDownItems.Add('-')
            else:
                submenu = self._submenu(cmd.group, menubar)

                item = WinForms.ToolStripMenuItem(cmd.label)

                if cmd.action:
                    item.Click += cmd._impl.as_handler()
                item.Enabled = cmd.enabled

                if cmd.shortcut is not None:
                    shortcut_keys = toga_to_winforms_key(cmd.shortcut)
                    item.ShortcutKeys = shortcut_keys
                    item.ShowShortcutKeys = True

                cmd._impl.native.append(item)

                self._menu_items[item] = cmd
                submenu.DropDownItems.Add(item)

        self.interface.main_window._impl.native.Controls.Add(menubar)
        self.interface.main_window._impl.native.MainMenuStrip = menubar
        self.interface.main_window.content.refresh()

    def _submenu(self, group, menubar):
        try:
            return self._menu_groups[group]
        except KeyError:
            if group is None:
                submenu = menubar
            else:
                parent_menu = self._submenu(group.parent, menubar)

                submenu = WinForms.ToolStripMenuItem(group.label)

                # Top level menus are added in a different way to submenus
                if group.parent is None:
                    parent_menu.Items.Add(submenu)
                else:
                    parent_menu.DropDownItems.Add(submenu)

            self._menu_groups[group] = submenu
        return submenu

    def _create_app_commands(self):
        # No extra menus
        pass

    def open_document(self, fileURL):
        '''Add a new document to this app.'''
        print(""STUB: If you want to handle opening documents, implement App.open_document(fileURL)"")

    def winforms_thread_exception(self, sender, winforms_exc):
        # The PythonException returned by Winforms doesn't give us
        # easy access to the underlying Python stacktrace; so we
        # reconstruct it from the string message.
        # The Python message is helpfully included in square brackets,
        # as the context for the first line in the .net stack trace.
        # So, look for the closing bracket and the start of the Python.net
        # stack trace. Then, reconstruct the line breaks internal to the
        # remaining string.
        print(""Traceback (most recent call last):"")
        py_exc = winforms_exc.get_Exception()
        full_stack_trace = py_exc.StackTrace
        regex = re.compile(
            r""^\[(?:'(.*?)', )*(?:'(.*?)')\]   (?:.*?) Python\.Runtime"",
            re.DOTALL | re.UNICODE
        )

        stacktrace_relevant_lines = regex.findall(full_stack_trace)
        if len(stacktrace_relevant_lines) == 0:
            self.print_stack_trace(full_stack_trace)
        else:
            for lines in stacktrace_relevant_lines:
                for line in lines:
                    self.print_stack_trace(line)
        print(py_exc.Message)

    @classmethod
    def print_stack_trace(cls, stack_trace_line):
        for level in stack_trace_line.split(""', '""):
            for line in level.split(""\\n""):
                if line:
                    print(line)

    def run_app(self):
        try:
            self.create()

            self.native.ThreadException += self.winforms_thread_exception

            self.loop.run_forever(self.app_context)
        except:  # NOQA
            traceback.print_exc()

    def main_loop(self):
        thread = Threading.Thread(Threading.ThreadStart(self.run_app))
        thread.SetApartmentState(Threading.ApartmentState.STA)
        thread.Start()
        thread.Join()

    def show_about_dialog(self):
        message_parts = []
        if self.interface.name is not None:
            if self.interface.version is not None:
                message_parts.append(
                    ""{name} v{version}"".format(
                        name=self.interface.name,
                        version=self.interface.version,
                    )
                )
            else:
                message_parts.append(
                    ""{name}"".format(name=self.interface.name)
                )
        elif self.interface.version is not None:
            message_parts.append(
                ""v{version}"".format(version=self.interface.version)
            )

        if self.interface.author is not None:
            message_parts.append(
                ""Author: {author}"".format(author=self.interface.author)
            )
        if self.interface.description is not None:
            message_parts.append(
                ""\n{description}"".format(
                    description=self.interface.description
                )
            )
        self.interface.main_window.info_dialog(
            'About {}'.format(self.interface.name), ""\n"".join(message_parts)
        )

    def exit(self):
        self._is_exiting = True
        self.native.Exit()

    def set_main_window(self, window):
        self.app_context.MainForm = window._impl.native

    def set_on_exit(self, value):
        pass

    def current_window(self):
        self.interface.factory.not_implemented('App.current_window()')

    def enter_full_screen(self, windows):
        self.interface.factory.not_implemented('App.enter_full_screen()')

    def exit_full_screen(self, windows):
        self.interface.factory.not_implemented('App.exit_full_screen()')

    def set_cursor(self, value):
        self.interface.factory.not_implemented('App.set_cursor()')

    def show_cursor(self):
        self.interface.factory.not_implemented('App.show_cursor()')

    def hide_cursor(self):
        self.interface.factory.not_implemented('App.hide_cursor()')

    def add_background_task(self, handler):
        self.loop.call_soon(handler, self)


class DocumentApp(App):
    def _create_app_commands(self):
        self.interface.commands.add(
            toga.Command(
                lambda w: self.open_file,
                label='Open...',
                shortcut=Key.MOD_1 + 'o',
                group=toga.Group.FILE,
                section=0
            ),
        )

    def open_document(self, fileURL):
        """"""Open a new document in this app.

        Args:
            fileURL (str): The URL/path to the file to add as a document.
        """"""
        self.interface.factory.not_implemented('DocumentApp.open_document()')
",206,1375,2275,24,9.125,19,0.09223300970873786,2.1666666666666665,HUMAN,2026-05-15_1405
"# -*- coding: utf-8 -*-
""""""
/***************************************************************************
 SimplePhotogrammetryRoutePlanner
                                 A QGIS plugin
 A imple photogrammetry route planner.
 Generated by Plugin Builder: http://g-sherman.github.io/Qgis-Plugin-Builder/
                             -------------------
        begin                : 2021-04-24
        copyright            : (C) 2021 by Xiangyong Luo
        email                : solo_lxy@126.com
        git sha              : $Format:%H$
 ***************************************************************************/

/***************************************************************************
 *                                                                         *
 *   This program is free software; you can redistribute it and/or modify  *
 *   it under the terms of the GNU General Public License as published by  *
 *   the Free Software Foundation; either version 2 of the License, or     *
 *   (at your option) any later version.                                   *
 *                                                                         *
 ***************************************************************************/
 This script initializes the plugin, making it known to QGIS.
""""""
__version__ = ""0.4.0""

# noinspection PyPep8Naming
def classFactory(iface):  # pylint: disable=invalid-name
    """"""Load SimplePhotogrammetryRoutePlanner class from file SimplePhotogrammetryRoutePlanner.

    :param iface: A QGIS interface instance.
    :type iface: QgsInterface
    """"""
    #
    from .SimplePhotogrammetryRoutePlanner import SimplePhotogrammetryRoutePlanner
    return SimplePhotogrammetryRoutePlanner(iface)
",4,21,50,1,11.0,7,0.0,1.0,HUMAN,2026-05-15_1405
"# -*- coding: utf-8 -*-
""""""
Created on Tue Jul 24 14:38:20 2018
dimension reduction with VarianceThreshold using sklearn.
Feature selector that removes all low-variance features.
@author: lenovo
""""""
from sklearn.feature_selection import VarianceThreshold
import numpy as np
#
np.random.seed(1)
X = np.random.randn(100, 10)
X = np.hstack([X, np.zeros([100, 5])])
#


def featureSelection_variance(X, thrd):
    sel = VarianceThreshold(threshold=thrd)
    X_selected = sel.fit_transform(X)
    mask = sel.get_support()
    return X_selected, mask


X = [[0, 2, 0, 3], [0, 1, 4, 3], [0, 1, 1, 3]]
selector = VarianceThreshold()
selector.fit_transform(X)
selector.variances_
",14,134,205,1,4.0,10,0.0,1.0,HUMAN,2026-05-15_1405
"#!/usr/bin/env python
# coding=utf-8

from my_multi_main3 import main
import numpy as np
import argparse
import time

parser = argparse.ArgumentParser(description='PyTorch MNIST Example')
parser.add_argument('--batch-size', type=int, default=64, metavar='N',
                    help='input batch size for training (default: 64)')
parser.add_argument('--test-batch-size', type=int, default=1000, metavar='N',
                    help='input batch size for testing (default: 1000)')
parser.add_argument('--epochs', type=int, default=10, metavar='N',
                    help='number of epochs to train (default: 10)')
parser.add_argument('--lr', type=float, default=0.01, metavar='LR',
                    help='learning rate (default: 0.01)')
parser.add_argument('--momentum', type=float, default=0.5, metavar='M',
                    help='SGD momentum (default: 0.5)')
parser.add_argument('--no-cuda', action='store_true', default=False,
                    help='disables CUDA training')
parser.add_argument('--seed', type=int, default=1, metavar='S',
                    help='random seed (default: 1)')
parser.add_argument('--log-interval', type=int, default=10, metavar='N',
                    help='how many batches to wait before logging training status')
parser.add_argument('--save-model', action='store_true', default=False,
                    help='For Saving the current Model')
parser.add_argument('--norm-flag', type=bool, default=False,
                    help='Triggering the Layer Normalization flag for attention scores')
parser.add_argument('--gamma', type=float, default=None,
                    help='Controlling the sparisty of gfusedmax/sparsemax, the smaller, the more sparse')
parser.add_argument('--lam', type=float, default=1.0,
                    help='Lambda: Controlling the smoothness of gfusedmax, the larger, the smoother')
parser.add_argument('--max-type', type=str, default='softmax',choices=['softmax','sparsemax','gfusedmax'],
                    help='mapping function in attention')
parser.add_argument('--optim-type', type=str, default='SGD',choices=['SGD','Adam'],
                    help='mapping function in attention')
parser.add_argument('--head-cnt', type=int, default=2, metavar='S', choices=[1,2,4,5,10],
                    help='Number of heads for attention (default: 1)')

args = parser.parse_args()

hyperparameter_choices = {
    'lr':list(10**np.arange(-4,-1,0.5)),
    'norm_flag': [True,False],
    'gamma':list(10**np.arange(-1,3,0.5))+[None,],
    'lam':list(10**np.arange(-2,2,0.5)),
    'max_type':['softmax','sparsemax','gfusedmax'],
    # 'max_type':['sparsemax'],
    'optim_type':['SGD','Adam'],
    'head_cnt':[1,2,4,5,10,20]
}

param_num = 25
record = np.zeros([param_num,len(hyperparameter_choices)+1])
record_name = 'record3_multi_%s.csv'%time.strftime('%Y-%m-%d_%H-%M-%S',time.localtime())
for n in range(param_num):
    for param_index,(k,v) in enumerate(hyperparameter_choices.items()):
        print(param_index,k)
        value_index = np.random.choice(len(v))
        if isinstance(v[value_index],str) or isinstance(v[value_index],bool) or v[value_index] is None:
            record[n,param_index] = value_index
        else:
            record[n,param_index] = v[value_index]
        setattr(args,k,v[value_index])
    record[n,-1] = main(args)
    np.savetxt(record_name, record, delimiter=',')



",59,648,1087,0,10.0,13,0.05084745762711865,0.0,HUMAN,2026-05-15_1405
"""""""HDF5 related files.

This file contains a set of functions that related to read and write
HDF5 files.

Author: Yuhuang Hu
Email : duguyue100@gmail.com
""""""
from __future__ import print_function, absolute_import

import h5py

from spiker import log

logger = log.get_logger(""data-hdf5"", log.DEBUG)


def init_hdf5(file_path, mode=""w"", cam_type=""davis""):
    """"""Init HDF5 file object.

    # Parameters
    file_path : str
        absolute path for the HDF5 file.
    mode : str
        w : for writing
        r : for reading
    cam_type : str
        davis : for DAVIS camera
        dvs   : for DVS camera

    # Returns
    dataset : h5py.File
        The file object of the given dataset
    """"""
    if mode == ""w"":
        dataset = h5py.File(file_path, mode=mode)
        dataset.create_group(""dvs"")
        dataset.create_group(""extra"")
        if cam_type == ""davis"":
            dataset.create_group(""aps"")
            dataset.create_group(""imu"")
    elif mode == ""r"":
        dataset = h5py.File(file_path, mode=mode)

    return dataset
",15,105,201,1,6.666666666666667,12,0.13333333333333333,4.0,HUMAN,2026-05-15_1405
"# automatically generated by the FlatBuffers compiler, do not modify

# namespace: flatbuf

import flatbuffers

class FloatingPoint(object):
    __slots__ = ['_tab']

    @classmethod
    def GetRootAsFloatingPoint(cls, buf, offset):
        n = flatbuffers.encode.Get(flatbuffers.packer.uoffset, buf, offset)
        x = FloatingPoint()
        x.Init(buf, n + offset)
        return x

    # FloatingPoint
    def Init(self, buf, pos):
        self._tab = flatbuffers.table.Table(buf, pos)

    # FloatingPoint
    def Precision(self):
        o = flatbuffers.number_types.UOffsetTFlags.py_type(self._tab.Offset(4))
        if o != 0:
            return self._tab.Get(flatbuffers.number_types.Int16Flags, o + self._tab.Pos)
        return 0

def FloatingPointStart(builder): builder.StartObject(1)
def FloatingPointAddPrecision(builder, precision): builder.PrependInt16Slot(0, precision, 0)
def FloatingPointEnd(builder): return builder.EndObject()
",19,179,277,6,3.0,14,0.05263157894736842,1.3333333333333333,HUMAN,2026-05-15_1405
