sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The impact of urban sprawl on biodiversity and ecosystem services.,"['NNS', 'VBP', 'DT', 'NN', 'IN', 'JJ', 'NN', 'IN', 'NN', 'CC', 'NN', 'NNS', '.']","['Lets', 'discuss', 'The', 'impact', 'of', 'urban', 'sprawl', 'on', 'biodiversity', 'and', 'ecosystem', 'service', '.']",0.6153846153846154,5.755955704321475e-06,1.2117861220266273,0.001979852093402434,0.0,0.9842,0.2503093512462436,6,0.07692307692307693,0,1,0.3076923076923077,False,LLM,2026-05-15_143303
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9842,0.2503093512462436,1,0.0,0,0,0.0,True,LLM,2026-05-15_143303
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,1.6847741686298489e-06,1.224744871391589,0.0010598031794095382,0.0,0.9842,0.2503093512462436,3,0.2,0,0,0.0,True,LLM,2026-05-15_143303
"As a scholar examining the intersection of urban ecology, geography, and environmental science, I approach the phenomenon of urban sprawl not merely as a consequence of demographic growth, but as a fundamental **reconfiguration of the biosphere.","['IN', 'DT', 'NN', 'VBG', 'DT', 'NN', 'IN', 'JJ', 'NN', ',', 'NN', ',', 'CC', 'JJ', 'NN', ',', 'PRP', 'VBP', 'DT', 'NN', 'IN', 'JJ', 'NN', 'RB', 'RB', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NN', ',', 'CC', 'IN', 'DT', 'JJ', 'NN', 'NNP', 'NN', 'IN', 'DT', 'NN', '.']","['As', 'a', 'scholar', 'examine', 'the', 'intersection', 'of', 'urban', 'ecology', ',', 'geography', ',', 'and', 'environmental', 'science', ',', 'I', 'approach', 'the', 'phenomenon', 'of', 'urban', 'sprawl', 'not', 'merely', 'a', 'a', 'consequence', 'of', 'demographic', 'growth', ',', 'but', 'a', 'a', 'fundamental', '*', '*', 'reconfiguration', 'of', 'the', 'biosphere', '.']",0.5116279069767442,1.2180547938733564e-05,2.1278652802486286,0.0016401715871814282,0.2023,0.7818999999999999,0.2503093512462436,10,0.3953488372093023,0,2,0.27906976744186046,False,LLM,2026-05-15_143303
"**

Urban sprawl—characterized by low-density, automobile-dependent development that encroaches upon peripheral landscapes—represents perhaps the most aggressive form of habitat transformation.","['JJ', 'NNP', 'NNP', 'VBD', 'NNP', 'VBN', 'IN', 'NN', ',', 'JJ', 'NN', 'WDT', 'VBZ', 'IN', 'JJ', 'NNS', 'JJ', 'VBZ', 'RB', 'DT', 'RBS', 'JJ', 'NN', 'IN', 'JJ', 'NN', '.']","['*', '*', 'Urban', 'sprawl', '—', 'characterize', 'by', 'low-density', ',', 'automobile-dependent', 'development', 'that', 'encroach', 'upon', 'peripheral', 'landscape', '—', 'represent', 'perhaps', 'the', 'most', 'aggressive', 'form', 'of', 'habitat', 'transformation', '.']",0.7407407407407407,1.3970101562083638e-05,2.519106496893402,0.0014837244511733535,-0.2247,1.2088999999999999,0.2503093512462436,9,0.6875,1,0,-0.15625,False,LLM,2026-05-15_143303
"To analyze its impact, we must look at it through the dual lenses of biodiversity loss and the degradation of ecosystem services.","['TO', 'VB', 'PRP$', 'NN', ',', 'PRP', 'MD', 'VB', 'IN', 'PRP', 'IN', 'DT', 'JJ', 'NNS', 'IN', 'NN', 'NN', 'CC', 'DT', 'NN', 'IN', 'NN', 'NNS', '.']","['To', 'analyze', 'it', 'impact', ',', 'we', 'must', 'look', 'at', 'it', 'through', 'the', 'dual', 'lens', 'of', 'biodiversity', 'loss', 'and', 'the', 'degradation', 'of', 'ecosystem', 'service', '.']",0.4166666666666667,1.5683166524477837e-05,1.826845525888769,0.002167779230610419,-0.6908,1.6749999999999998,0.2503093512462436,7,0.2916666666666667,1,1,0.041666666666666664,True,LLM,2026-05-15_143303
### 1.,"['#', '#', '#', 'CD', '.']","['#', '#', '#', '1', '.']",0.0,1.1461048766189448e-06,1.4142135623730951,0.000757002271006813,0.0,0.9842,0.2503093512462436,2,0.4,0,0,0.0,True,LLM,2026-05-15_143303
"The Fragmentation of Biological Integrity
The primary mechanism by which sprawl impairs biodiversity is **habitat fragmentation**.","['DT', 'NNP', 'IN', 'NNP', 'NNP', 'DT', 'JJ', 'NN', 'IN', 'WDT', 'NN', 'NNS', 'NN', 'VBZ', 'JJ', 'NNP', 'NN', 'NN', 'NNP', 'NNP', '.']","['The', 'Fragmentation', 'of', 'Biological', 'Integrity', 'The', 'primary', 'mechanism', 'by', 'which', 'sprawl', 'impairs', 'biodiversity', 'be', '*', '*', 'habitat', 'fragmentation', '*', '*', '.']",0.7142857142857143,2.9753120542676933e-06,1.648352676446516,0.0010464443158035356,0.3818,0.6024,0.2503093512462436,5,0.045454545454545456,1,0,0.22727272727272727,False,LLM,2026-05-15_143303
"When we replace continuous ecosystems (forests, grasslands, wetlands) with a mosaic of residential blocks and arterial roads, we induce several catastrophic effects:

*   **The Edge Effect:** As large habitats are diced into smaller patches, the ratio of ""edge"" to ""interior"" increases.","['WRB', 'PRP', 'VB', 'JJ', 'NNS', '(', 'NNS', ',', 'NNS', ',', 'NNS', ')', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'CC', 'JJ', 'NNS', ',', 'PRP', 'VBP', 'JJ', 'JJ', 'NNS', ':', 'NN', 'NN', 'VBD', 'DT', 'NNP', 'NNP', ':', 'NN', 'NN', 'IN', 'JJ', 'NNS', 'VBP', 'VBN', 'IN', 'JJR', 'NNS', ',', 'DT', 'NN', 'IN', '``', 'NN', ""''"", 'TO', '``', 'VB', ""''"", 'NNS', '.']","['When', 'we', 'replace', 'continuous', 'ecosystem', '(', 'forest', ',', 'grassland', ',', 'wetland', ')', 'with', 'a', 'mosaic', 'of', 'residential', 'block', 'and', 'arterial', 'road', ',', 'we', 'induce', 'several', 'catastrophic', 'effect', ':', '*', '*', '*', 'The', 'Edge', 'Effect', ':', '*', '*', 'As', 'large', 'habitat', 'be', 'dice', 'into', 'small', 'patch', ',', 'the', 'ratio', 'of', '``', 'edge', ""''"", 'to', '``', 'interior', ""''"", 'increase', '.']",0.5517241379310345,7.448056785627179e-06,2.8592632695693974,0.0009544811243129382,-0.6249,1.6091,0.2503093512462436,8,0.6052631578947368,1,1,0.2894736842105263,False,LLM,2026-05-15_143303
"Many interior-dwelling species cannot survive in these exposed, disturbed margins, leading to a decline in specialist species and a homogenization of biota, where only generalist species (often invasive or synanthropic, like rats or pigeons) thrive.","['JJ', 'JJ', 'NNS', 'MD', 'RB', 'VB', 'IN', 'DT', 'VBN', ',', 'JJ', 'NNS', ',', 'VBG', 'TO', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'CC', 'DT', 'NN', 'IN', 'NN', ',', 'WRB', 'RB', 'JJ', 'NNS', '(', 'RB', 'VBP', 'CC', 'VBP', ',', 'IN', 'NNS', 'CC', 'NNS', ')', 'VBP', '.']","['Many', 'interior-dwelling', 'specie', 'can', 'not', 'survive', 'in', 'these', 'expose', ',', 'disturbed', 'margin', ',', 'lead', 'to', 'a', 'decline', 'in', 'specialist', 'specie', 'and', 'a', 'homogenization', 'of', 'biota', ',', 'where', 'only', 'generalist', 'specie', '(', 'often', 'invasive', 'or', 'synanthropic', ',', 'like', 'rat', 'or', 'pigeon', ')', 'thrive', '.']",0.5348837209302325,6.556187692169188e-07,1.3135653717427993,0.0006164161349626906,-0.1027,1.0869,0.2503093512462436,12,0.15555555555555556,2,3,0.13333333333333333,False,LLM,2026-05-15_143303
