sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The sustainability of the current global tourism model.,"['NNS', 'VBP', 'DT', 'NN', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'NN', '.']","['Lets', 'discuss', 'The', 'sustainability', 'of', 'the', 'current', 'global', 'tourism', 'model', '.']",0.6363636363636364,4.9323720002704046e-05,1.2137351972617987,0.005786340223426317,0.0,0.9986,0.24727272727272728,5,0.09090909090909091,0,0,-0.18181818181818182,True,LLM,2026-05-15_143426
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9986,0.24727272727272728,1,0.0,0,0,0.0,True,LLM,2026-05-15_143426
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,1.927574110080725e-06,1.4513817126240929,0.0009565857247976452,0.0,0.9986,0.24727272727272728,3,0.2,0,0,0.0,True,LLM,2026-05-15_143426
"To analyze the sustainability of the current global tourism model, one must look beyond the immediate economic benefits—the GDP contributions and employment statistics—and examine the structural tension between **neoliberal expansionism** and the **biophysical limits of the planet.","['TO', 'VB', 'DT', 'NN', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'NN', ',', 'CD', 'MD', 'VB', 'IN', 'DT', 'JJ', 'JJ', 'NNS', 'VBP', 'DT', 'NNP', 'NNS', 'CC', 'NN', 'NNS', 'VBP', 'CC', 'VBP', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'NNP', 'JJ', 'NN', 'NNP', 'NNP', 'CC', 'DT', 'NNP', 'NNP', 'JJ', 'NNS', 'IN', 'DT', 'NN', '.']","['To', 'analyze', 'the', 'sustainability', 'of', 'the', 'current', 'global', 'tourism', 'model', ',', 'one', 'must', 'look', 'beyond', 'the', 'immediate', 'economic', 'benefit', '—', 'the', 'GDP', 'contribution', 'and', 'employment', 'statistic', '—', 'and', 'examine', 'the', 'structural', 'tension', 'between', '*', '*', 'neoliberal', 'expansionism', '*', '*', 'and', 'the', '*', '*', 'biophysical', 'limit', 'of', 'the', 'planet', '.']",0.6122448979591837,2.257628834401328e-05,1.7776967883373402,0.002672813054581656,-0.3182,0.6804000000000001,0.24727272727272728,6,0.2653061224489796,1,3,0.04081632653061224,True,LLM,2026-05-15_143426
"**

As a scholar observing this phenomenon, I categorize the crisis of contemporary tourism into four primary dialectical tensions:

### 1.","['RB', 'NNP', 'IN', 'DT', 'NN', 'VBG', 'DT', 'NN', ',', 'PRP', 'VBP', 'DT', 'NN', 'IN', 'JJ', 'NN', 'IN', 'CD', 'JJ', 'JJ', 'NNS', ':', '#', '#', '#', 'CD', '.']","['*', '*', 'As', 'a', 'scholar', 'observe', 'this', 'phenomenon', ',', 'I', 'categorize', 'the', 'crisis', 'of', 'contemporary', 'tourism', 'into', 'four', 'primary', 'dialectical', 'tension', ':', '#', '#', '#', '1', '.']",0.4444444444444444,2.4311821750652406e-05,2.3307213754124843,0.002115526122148639,-0.7783,0.22030000000000005,0.24727272727272728,6,0.3793103448275862,0,0,0.13793103448275862,False,LLM,2026-05-15_143426
"The Paradox of ""Overtourism"" vs.","['DT', 'NNP', 'IN', '``', 'NNP', ""''"", 'NN', '.']","['The', 'Paradox', 'of', '``', 'Overtourism', ""''"", 'v', '.']",0.375,3.701341613238752e-07,2.6457513110645907,0.0002299484915378955,-0.1027,0.8959,0.24727272727272728,4,0.14285714285714285,0,0,0.2857142857142857,True,LLM,2026-05-15_143426
"The Right to Mobility
The current model is predicated on the democratization of travel, which has been accelerated by the proliferation of low-cost carriers and the ""platformization"" of accommodation (e.g., Airbnb).","['DT', 'NNP', 'TO', 'NNP', 'DT', 'JJ', 'NN', 'VBZ', 'VBN', 'IN', 'DT', 'NN', 'IN', 'NN', ',', 'WDT', 'VBZ', 'VBN', 'VBN', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'CC', 'DT', '``', 'NN', ""''"", 'IN', 'NN', '(', 'JJ', ',', 'NNP', ')', '.']","['The', 'Right', 'to', 'Mobility', 'The', 'current', 'model', 'be', 'predicate', 'on', 'the', 'democratization', 'of', 'travel', ',', 'which', 'have', 'be', 'accelerate', 'by', 'the', 'proliferation', 'of', 'low-cost', 'carrier', 'and', 'the', '``', 'platformization', ""''"", 'of', 'accommodation', '(', 'e.g.', ',', 'Airbnb', ')', '.']",0.47368421052631576,1.7258827179444698e-05,2.656844656620286,0.0015636497424576896,0.0,0.9986,0.24727272727272728,10,0.21951219512195122,1,1,0.14634146341463414,False,LLM,2026-05-15_143426
"While this has opened the world to the middle classes of emerging economies, it has created a phenomenon of **spatial exhaustion.","['IN', 'DT', 'VBZ', 'VBN', 'DT', 'NN', 'TO', 'DT', 'JJ', 'NNS', 'IN', 'VBG', 'NNS', ',', 'PRP', 'VBZ', 'VBN', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'JJ', 'NN', '.']","['While', 'this', 'have', 'open', 'the', 'world', 'to', 'the', 'middle', 'class', 'of', 'emerge', 'economy', ',', 'it', 'have', 'create', 'a', 'phenomenon', 'of', '*', '*', 'spatial', 'exhaustion', '.']",0.56,2.4682171733644702e-05,2.0548557764791684,0.0024177441395984442,-0.128,0.8706,0.24727272727272728,7,0.64,1,0,-0.16,False,LLM,2026-05-15_143426
"** Historic cities like Venice, Kyoto, and Barcelona are experiencing ""touristification,"" where the local urban fabric is hollowed out to serve a transient population.","['JJ', 'NNP', 'NNP', 'NNS', 'IN', 'NNP', ',', 'NNP', ',', 'CC', 'NNP', 'VBP', 'VBG', '``', 'NN', ',', ""''"", 'WRB', 'DT', 'JJ', 'JJ', 'NN', 'VBZ', 'VBN', 'IN', 'TO', 'VB', 'DT', 'JJ', 'NN', '.']","['*', '*', 'Historic', 'city', 'like', 'Venice', ',', 'Kyoto', ',', 'and', 'Barcelona', 'be', 'experience', '``', 'touristification', ',', ""''"", 'where', 'the', 'local', 'urban', 'fabric', 'be', 'hollow', 'out', 'to', 'serve', 'a', 'transient', 'population', '.']",0.5806451612903226,1.726348892748236e-05,2.798293898619224,0.0014848102596446966,0.3612,1.3598000000000001,0.24727272727272728,6,0.3870967741935484,2,1,0.06451612903225806,True,LLM,2026-05-15_143426
"When a destination’s carrying capacity is breached, the model ceases to be sustainable not only ecologically but socially; it induces a xenophobic backlash and degrades the very ""authenticity"" the tourist sought to consume.","['WRB', 'DT', 'NN', 'NNP', 'NN', 'VBG', 'NN', 'VBZ', 'VBN', ',', 'DT', 'NN', 'VBZ', 'TO', 'VB', 'JJ', 'RB', 'RB', 'RB', 'CC', 'RB', ':', 'PRP', 'VBZ', 'DT', 'JJ', 'NN', 'CC', 'VBZ', 'DT', 'RB', '``', 'NN', ""''"", 'DT', 'NN', 'VBD', 'TO', 'VB', '.']","['When', 'a', 'destination', '’', 's', 'carry', 'capacity', 'be', 'breach', ',', 'the', 'model', 'cease', 'to', 'be', 'sustainable', 'not', 'only', 'ecologically', 'but', 'socially', ';', 'it', 'induce', 'a', 'xenophobic', 'backlash', 'and', 'degrade', 'the', 'very', '``', 'authenticity', ""''"", 'the', 'tourist', 'seek', 'to', 'consume', '.']",0.6,1.4577880822376272e-05,2.4906224121692953,0.0015329899435859702,-0.631,0.36760000000000004,0.24727272727272728,7,0.5641025641025641,2,2,-0.15384615384615385,False,LLM,2026-05-15_143426
