sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The role of nuclear energy in achieving global carbon neutrality.,"['NNS', 'VBP', 'DT', 'NN', 'IN', 'JJ', 'NN', 'IN', 'VBG', 'JJ', 'NN', 'NN', '.']","['Lets', 'discuss', 'The', 'role', 'of', 'nuclear', 'energy', 'in', 'achieve', 'global', 'carbon', 'neutrality', '.']",0.6923076923076923,5.2634494900485296e-05,1.8216675859721045,0.003982594586621432,0.2732,0.808,0.248757016840417,5,0.07692307692307693,0,0,0.15384615384615385,True,LLM,2026-05-15_141937
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.5348,0.248757016840417,1,0.0,0,0,0.0,True,LLM,2026-05-15_141937
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,6.945408375202399e-07,1.3038404810405297,0.0006391818472355385,0.0,0.5348,0.248757016840417,3,0.2,0,0,0.0,True,LLM,2026-05-15_141937
"To address the role of nuclear energy in the pursuit of global carbon neutrality, one must move beyond the polarized rhetoric that often characterizes the debate and instead examine the synthesis of thermodynamics, grid stability, and socio-political feasibility.","['TO', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NN', 'NN', ',', 'CD', 'MD', 'VB', 'IN', 'DT', 'JJ', 'NN', 'WDT', 'RB', 'VBZ', 'DT', 'NN', 'CC', 'RB', 'VB', 'DT', 'NN', 'IN', 'NNS', ',', 'JJ', 'NN', ',', 'CC', 'JJ', 'NN', '.']","['To', 'address', 'the', 'role', 'of', 'nuclear', 'energy', 'in', 'the', 'pursuit', 'of', 'global', 'carbon', 'neutrality', ',', 'one', 'must', 'move', 'beyond', 'the', 'polarized', 'rhetoric', 'that', 'often', 'characterize', 'the', 'debate', 'and', 'instead', 'examine', 'the', 'synthesis', 'of', 'thermodynamics', ',', 'grid', 'stability', ',', 'and', 'socio-political', 'feasibility', '.']",0.5238095238095238,3.517161103955193e-05,1.9256994833201084,0.00307969435486214,0.2732,0.808,0.248757016840417,12,0.38636363636363635,2,2,0.022727272727272728,True,LLM,2026-05-15_141937
"As a scholar of energy systems, I view nuclear energy not as a panacea, but as a **baseload anchor**—a critical component of a diversified, low-carbon portfolio.","['IN', 'DT', 'NN', 'IN', 'NN', 'NNS', ',', 'PRP', 'VBP', 'JJ', 'NN', 'RB', 'IN', 'DT', 'NN', ',', 'CC', 'IN', 'DT', 'JJ', 'NN', 'NN', 'NN', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', ',', 'JJ', 'NN', '.']","['As', 'a', 'scholar', 'of', 'energy', 'system', ',', 'I', 'view', 'nuclear', 'energy', 'not', 'a', 'a', 'panacea', ',', 'but', 'a', 'a', '*', '*', 'baseload', 'anchor', '*', '*', '—', 'a', 'critical', 'component', 'of', 'a', 'diversified', ',', 'low-carbon', 'portfolio', '.']",0.5555555555555556,3.187550204549653e-05,2.342430676001329,0.0024102482156173432,-0.2144,0.3204,0.248757016840417,7,0.23529411764705882,0,1,-0.20588235294117646,False,LLM,2026-05-15_141937
"Here is a breakdown of the core dimensions of this discourse:

### 1.","['RB', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'NNS', 'IN', 'DT', 'NN', ':', '#', '#', '#', 'CD', '.']","['Here', 'be', 'a', 'breakdown', 'of', 'the', 'core', 'dimension', 'of', 'this', 'discourse', ':', '#', '#', '#', '1', '.']",0.35294117647058826,2.5768048719763525e-05,2.269072067310166,0.0022371364653243847,0.0,0.5348,0.248757016840417,7,0.05555555555555555,0,0,0.2777777777777778,False,LLM,2026-05-15_141937
"The Energy Density and Baseload Advantage
The primary argument for nuclear energy remains its unmatched energy density.","['DT', 'NNP', 'NNP', 'CC', 'NNP', 'NNP', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NN', 'VBZ', 'PRP$', 'JJ', 'NN', 'NN', '.']","['The', 'Energy', 'Density', 'and', 'Baseload', 'Advantage', 'The', 'primary', 'argument', 'for', 'nuclear', 'energy', 'remain', 'it', 'unmatched', 'energy', 'density', '.']",0.6666666666666666,4.610270154936739e-05,2.360620864136706,0.0028763183125599234,0.5423,1.0771000000000002,0.248757016840417,5,0.6842105263157895,0,1,-0.21052631578947367,False,LLM,2026-05-15_141937
"Unlike variable renewable energy (VRE) sources like wind and solar, which are dictated by meteorological patterns, nuclear power provides high-capacity factor, dispatchable electricity.","['IN', 'JJ', 'JJ', 'NN', '(', 'NNP', ')', 'NNS', 'IN', 'NN', 'CC', 'NN', ',', 'WDT', 'VBP', 'VBN', 'IN', 'JJ', 'NNS', ',', 'JJ', 'NN', 'VBZ', 'NN', 'NN', ',', 'JJ', 'NN', '.']","['Unlike', 'variable', 'renewable', 'energy', '(', 'VRE', ')', 'source', 'like', 'wind', 'and', 'solar', ',', 'which', 'be', 'dictate', 'by', 'meteorological', 'pattern', ',', 'nuclear', 'power', 'provide', 'high-capacity', 'factor', ',', 'dispatchable', 'electricity', '.']",0.6206896551724138,2.918382923668924e-05,2.17330745779847,0.002485707183693761,0.5574,1.0922,0.248757016840417,7,0.7096774193548387,1,1,0.0,True,LLM,2026-05-15_141937
"In a world aiming for net-zero, ""intermittency"" is the greatest technical hurdle.","['IN', 'DT', 'NN', 'VBG', 'IN', 'NN', ',', '``', 'NN', ""''"", 'VBZ', 'DT', 'JJS', 'JJ', 'NN', '.']","['In', 'a', 'world', 'aim', 'for', 'net-zero', ',', '``', 'intermittency', ""''"", 'be', 'the', 'great', 'technical', 'hurdle', '.']",0.5,2.3017836625814383e-05,2.668795446601794,0.0017976989453499519,0.6369,1.1717,0.248757016840417,7,0.6666666666666666,0,0,-0.16666666666666666,False,LLM,2026-05-15_141937
"While lithium-ion battery storage has progressed, we currently lack the long-duration, utility-scale storage required to bridge the ""dunkelflaute"" (the dark, windless periods) on a global scale.","['IN', 'JJ', 'NN', 'NN', 'VBZ', 'VBN', ',', 'PRP', 'RB', 'VBP', 'DT', 'NN', ',', 'JJ', 'NN', 'VBN', 'TO', 'VB', 'DT', '``', 'NN', ""''"", '(', 'DT', 'NN', ',', 'JJ', 'NNS', ')', 'IN', 'DT', 'JJ', 'NN', '.']","['While', 'lithium-ion', 'battery', 'storage', 'have', 'progress', ',', 'we', 'currently', 'lack', 'the', 'long-duration', ',', 'utility-scale', 'storage', 'require', 'to', 'bridge', 'the', '``', 'dunkelflaute', ""''"", '(', 'the', 'dark', ',', 'windless', 'period', ')', 'on', 'a', 'global', 'scale', '.']",0.5294117647058824,1.410918151676512e-05,2.350641878589614,0.0015979546180888463,-0.3182,0.21660000000000007,0.248757016840417,8,0.275,1,0,-0.425,False,LLM,2026-05-15_141937
"Nuclear energy acts as the structural foundation of the grid, ensuring that the lights stay on when the sun is not shining and the wind is not blowing.","['NNP', 'NN', 'NNS', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', ',', 'VBG', 'IN', 'DT', 'NNS', 'VBP', 'IN', 'WRB', 'DT', 'NN', 'VBZ', 'RB', 'VBG', 'CC', 'DT', 'NN', 'VBZ', 'RB', 'VBG', '.']","['Nuclear', 'energy', 'act', 'a', 'the', 'structural', 'foundation', 'of', 'the', 'grid', ',', 'ensure', 'that', 'the', 'light', 'stay', 'on', 'when', 'the', 'sun', 'be', 'not', 'shin', 'and', 'the', 'wind', 'be', 'not', 'blow', '.']",0.5666666666666667,2.682674624334266e-05,2.12544423904602,0.0024368807925854905,0.4939,1.0287000000000002,0.248757016840417,6,0.06666666666666667,3,1,-0.16666666666666666,False,LLM,2026-05-15_141938
### 2.,"['#', '#', '#', 'CD', '.']","['#', '#', '#', '2', '.']",0.0,2.269741299085751e-06,1.4142135623730947,0.0010653030787258976,0.0,0.5348,0.248757016840417,2,0.4,0,0,0.0,True,LLM,2026-05-15_141938
"The Decarbonization of Industrial Heat
A often overlooked aspect of the climate crisis is that electricity accounts for only about 20% of global final energy consumption.","['DT', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'RB', 'VBD', 'NN', 'IN', 'DT', 'NN', 'NN', 'VBZ', 'IN', 'NN', 'NNS', 'IN', 'RB', 'RB', 'CD', 'NN', 'IN', 'JJ', 'JJ', 'NN', 'NN', '.']","['The', 'Decarbonization', 'of', 'Industrial', 'Heat', 'A', 'often', 'overlook', 'aspect', 'of', 'the', 'climate', 'crisis', 'be', 'that', 'electricity', 'account', 'for', 'only', 'about', '20', '%', 'of', 'global', 'final', 'energy', 'consumption', '.']",0.6785714285714286,2.1548776158879353e-05,2.1216327651606575,0.002187968630921651,-0.4767,0.05810000000000004,0.248757016840417,7,0.4827586206896552,1,0,-0.13793103448275862,False,LLM,2026-05-15_141938
"The remaining 80%—heavy industry, chemical processing, shipping, and heating—requires high-temperature thermal energy.","['DT', 'VBG', 'CD', 'NN', 'JJ', 'JJ', 'NN', ',', 'NN', 'NN', ',', 'NN', ',', 'CC', 'VBG', 'JJ', 'VBZ', 'JJ', 'JJ', 'NN', '.']","['The', 'remain', '80', '%', '—', 'heavy', 'industry', ',', 'chemical', 'processing', ',', 'shipping', ',', 'and', 'heat', '—', 'require', 'high-temperature', 'thermal', 'energy', '.']",0.6666666666666666,1.2066196939417534e-05,2.445531639541799,0.0014204041049678635,0.2732,0.808,0.248757016840417,5,0.65,0,1,0.05,True,LLM,2026-05-15_141938
