sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The ethics of animal personhood and legal rights.,"['NNS', 'VBP', 'DT', 'NNS', 'IN', 'JJ', 'NN', 'CC', 'JJ', 'NNS', '.']","['Lets', 'discuss', 'The', 'ethic', 'of', 'animal', 'personhood', 'and', 'legal', 'right', '.']",0.6363636363636364,2.5059450945348173e-05,1.2812153341098655,0.003907182056788356,0.128,0.868,0.2191078963230862,6,0.09090909090909091,0,1,0.18181818181818182,True,LLM,2026-05-15_142431
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.996,0.2191078963230862,1,0.0,0,0,0.0,True,LLM,2026-05-15_142431
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,8.180571916699388e-07,1.378404875209022,0.0006561679790026247,0.0,0.996,0.2191078963230862,3,0.2,0,0,0.0,True,LLM,2026-05-15_142431
The discourse surrounding animal personhood represents one of the most profound shifts in contemporary jurisprudence and moral philosophy.,"['DT', 'NN', 'VBG', 'JJ', 'NN', 'VBZ', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'JJ', 'NN', 'CC', 'JJ', 'NN', '.']","['The', 'discourse', 'surround', 'animal', 'personhood', 'represent', 'one', 'of', 'the', 'most', 'profound', 'shift', 'in', 'contemporary', 'jurisprudence', 'and', 'moral', 'philosophy', '.']",0.631578947368421,2.36448226051269e-05,1.7936468586406018,0.002711009807984528,0.0,0.996,0.2191078963230862,8,0.2631578947368421,0,1,-0.10526315789473684,True,LLM,2026-05-15_142431
"As a scholar observing this transition, I find that we are currently witnessing a ""Copernican revolution"" in how we define the relationship between the human and the non-human.","['IN', 'DT', 'NN', 'VBG', 'DT', 'NN', ',', 'PRP', 'VBP', 'IN', 'PRP', 'VBP', 'RB', 'VBG', 'DT', '``', 'JJ', 'NN', ""''"", 'IN', 'WRB', 'PRP', 'VBP', 'DT', 'NN', 'IN', 'DT', 'JJ', 'CC', 'DT', 'JJ', '.']","['As', 'a', 'scholar', 'observe', 'this', 'transition', ',', 'I', 'find', 'that', 'we', 'be', 'currently', 'witness', 'a', '``', 'Copernican', 'revolution', ""''"", 'in', 'how', 'we', 'define', 'the', 'relationship', 'between', 'the', 'human', 'and', 'the', 'non-human', '.']",0.40625,3.4234726916165856e-05,2.1901385068022865,0.002671541057367829,0.0,0.996,0.2191078963230862,10,0.23529411764705882,1,1,-0.029411764705882353,True,LLM,2026-05-15_142431
"To discuss this rigorously, we must disentangle the biological, the moral, and the legal dimensions of the debate.","['TO', 'VB', 'DT', 'RB', ',', 'PRP', 'MD', 'VB', 'DT', 'JJ', ',', 'DT', 'JJ', ',', 'CC', 'DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', '.']","['To', 'discuss', 'this', 'rigorously', ',', 'we', 'must', 'disentangle', 'the', 'biological', ',', 'the', 'moral', ',', 'and', 'the', 'legal', 'dimension', 'of', 'the', 'debate', '.']",0.36363636363636365,2.9151947000549135e-05,1.4421018599500006,0.0037440172919561525,0.0,0.996,0.2191078963230862,7,0.3181818181818182,1,1,0.045454545454545456,True,LLM,2026-05-15_142431
### 1.,"['#', '#', '#', 'CD', '.']","['#', '#', '#', '1', '.']",0.0,8.611128333367776e-07,1.414213562373095,0.0006561679790026247,0.0,0.996,0.2191078963230862,2,0.4,0,0,0.0,True,LLM,2026-05-15_142431
"The Breakdown of the Cartesian Barrier
Historically, Western thought—heavily influenced by René Descartes—categorized animals as *automata*, or biological machines devoid of consciousness or a ""soul.""","['DT', 'NNP', 'IN', 'DT', 'NNP', 'NNP', 'NNP', ',', 'NNP', 'VBD', 'NNP', 'RB', 'VBN', 'IN', 'NNP', 'NNP', 'NNP', 'VBD', 'NNS', 'IN', 'JJ', 'NN', 'NN', ',', 'CC', 'JJ', 'NNS', 'NN', 'IN', 'NN', 'CC', 'DT', '``', 'NN', '.', ""''""]","['The', 'Breakdown', 'of', 'the', 'Cartesian', 'Barrier', 'Historically', ',', 'Western', 'think', '—', 'heavily', 'influence', 'by', 'René', 'Descartes', '—', 'categorize', 'animal', 'a', '*', 'automaton', '*', ',', 'or', 'biological', 'machine', 'devoid', 'of', 'consciousness', 'or', 'a', '``', 'soul', '.', ""''""]",0.6111111111111112,1.1686403301122012e-05,2.936462143014169,0.0011641689950046565,-0.128,1.124,0.2191078963230862,8,0.02702702702702703,0,2,0.3783783783783784,False,LLM,2026-05-15_142431
This binary (Human/Subject vs. Animal/Object) has served as the foundation of our legal systems for centuries.,"['DT', 'JJ', '(', 'NNP', 'IN', 'NNP', ')', 'VBZ', 'VBN', 'IN', 'DT', 'NN', 'IN', 'PRP$', 'JJ', 'NNS', 'IN', 'NNS', '.']","['This', 'binary', '(', 'Human/Subject', 'vs.', 'Animal/Object', ')', 'have', 'serve', 'a', 'the', 'foundation', 'of', 'our', 'legal', 'system', 'for', 'century', '.']",0.47368421052631576,2.2551734084693163e-05,2.6443881072071216,0.0017958281530598148,0.128,0.868,0.2191078963230862,6,0.5217391304347826,0,0,0.0,True,LLM,2026-05-15_142431
"However, the empirical evidence from ethology, cognitive science, and neurobiology has rendered the Cartesian view obsolete.","['RB', ',', 'DT', 'JJ', 'NN', 'IN', 'NN', ',', 'JJ', 'NN', ',', 'CC', 'NN', 'VBZ', 'VBN', 'DT', 'JJ', 'NN', 'NN', '.']","['However', ',', 'the', 'empirical', 'evidence', 'from', 'ethology', ',', 'cognitive', 'science', ',', 'and', 'neurobiology', 'have', 'render', 'the', 'Cartesian', 'view', 'obsolete', '.']",0.6,2.0110262250512968e-05,2.525718374666611,0.0017755133549482785,-0.296,1.292,0.2191078963230862,6,0.7,1,1,-0.05,True,LLM,2026-05-15_142431
