sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
"Lets discuss The philosophical definition of ""truth"" in a post-truth era.","['NNS', 'VBP', 'DT', 'JJ', 'NN', 'IN', '``', 'NN', ""''"", 'IN', 'DT', 'JJ', 'NN', '.']","['Lets', 'discuss', 'The', 'philosophical', 'definition', 'of', '``', 'truth', ""''"", 'in', 'a', 'post-truth', 'era', '.']",0.5,9.039440281634026e-05,2.7251775717893927,0.00348879911861917,0.0,0.9684,0.23352506162695152,5,0.0625,0,0,-0.0625,True,LLM,2026-05-15_142723
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9684,0.23352506162695152,1,0.0,0,0,0.0,True,LLM,2026-05-15_142723
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,1.9205017472654764e-06,1.4513817126240929,0.0009548292324641939,0.0,0.9684,0.23352506162695152,3,0.2,0,0,0.0,True,LLM,2026-05-15_142723
"To approach the concept of ""truth"" in our current epoch—frequently labeled the ""post-truth"" era—we must first strip away the polemical baggage of the term.","['TO', 'VB', 'DT', 'NN', 'IN', '``', 'NN', ""''"", 'IN', 'PRP$', 'JJ', 'NN', 'NNP', 'RB', 'VBD', 'DT', '``', 'JJ', ""''"", 'NN', 'NN', 'PRP', 'MD', 'RB', 'VB', 'RP', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', '.']","['To', 'approach', 'the', 'concept', 'of', '``', 'truth', ""''"", 'in', 'our', 'current', 'epoch', '—', 'frequently', 'label', 'the', '``', 'post-truth', ""''"", 'era', '—', 'we', 'must', 'first', 'strip', 'away', 'the', 'polemical', 'baggage', 'of', 'the', 'term', '.']",0.48484848484848486,5.832545675253967e-05,2.4802392156377384,0.0030791830277691456,0.0,0.9684,0.23352506162695152,7,0.7428571428571429,2,0,-0.2857142857142857,False,LLM,2026-05-15_142723
"If we define a ""post-truth"" era as one in which objective facts are less influential in shaping public opinion than appeals to emotion and personal belief, we find ourselves at a fascinating intersection of epistemology, sociolinguistics, and political philosophy.","['IN', 'PRP', 'VBP', 'DT', '``', 'JJ', ""''"", 'NN', 'IN', 'CD', 'IN', 'WDT', 'JJ', 'NNS', 'VBP', 'RBR', 'JJ', 'IN', 'VBG', 'JJ', 'NN', 'IN', 'NNS', 'TO', 'NN', 'CC', 'JJ', 'NN', ',', 'PRP', 'VBP', 'PRP', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NN', ',', 'NNS', ',', 'CC', 'JJ', 'NN', '.']","['If', 'we', 'define', 'a', '``', 'post-truth', ""''"", 'era', 'a', 'one', 'in', 'which', 'objective', 'fact', 'be', 'less', 'influential', 'in', 'shape', 'public', 'opinion', 'than', 'appeal', 'to', 'emotion', 'and', 'personal', 'belief', ',', 'we', 'find', 'ourselves', 'at', 'a', 'fascinating', 'intersection', 'of', 'epistemology', ',', 'sociolinguistics', ',', 'and', 'political', 'philosophy', '.']",0.4888888888888889,3.0135302572304446e-06,1.3861121985488445,0.001252389427196625,0.7275,1.6959,0.23352506162695152,15,0.6808510638297872,2,2,0.1276595744680851,False,LLM,2026-05-15_142723
"As a scholar, I would propose that we analyze this through three distinct philosophical lenses.","['IN', 'DT', 'NN', ',', 'PRP', 'MD', 'VB', 'IN', 'PRP', 'VBP', 'DT', 'IN', 'CD', 'JJ', 'JJ', 'NNS', '.']","['As', 'a', 'scholar', ',', 'I', 'would', 'propose', 'that', 'we', 'analyze', 'this', 'through', 'three', 'distinct', 'philosophical', 'lens', '.']",0.35294117647058826,3.499067420832331e-06,1.8423615447480226,0.0010153161521678081,0.0,0.9684,0.23352506162695152,5,0.35294117647058826,1,0,-0.23529411764705882,False,LLM,2026-05-15_142723
### 1.,"['#', '#', '#', 'CD', '.']","['#', '#', '#', '1', '.']",0.0,1.468548464669294e-06,1.4142135623730954,0.0008568980291345329,0.0,0.9684,0.23352506162695152,2,0.4,0,0,0.0,True,LLM,2026-05-15_142723
"The Erosion of the Correspondence Theory
Historically, the dominant philosophical framework for truth has been the **Correspondence Theory**.","['DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', ',', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'NN', 'VBZ', 'VBN', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', '.']","['The', 'Erosion', 'of', 'the', 'Correspondence', 'Theory', 'Historically', ',', 'the', 'dominant', 'philosophical', 'framework', 'for', 'truth', 'have', 'be', 'the', '*', '*', 'Correspondence', 'Theory', '*', '*', '.']",0.6666666666666666,8.666188534519167e-05,2.8538666863352975,0.0032619731697306168,0.3182,1.2866,0.23352506162695152,5,0.64,0,0,-0.08,True,LLM,2026-05-15_142723
"Originating with Aristotle and refined by thinkers like Bertrand Russell, it posits that a statement is true if and only if it corresponds to a state of affairs in the world.","['VBG', 'IN', 'NNP', 'CC', 'VBN', 'IN', 'NNS', 'IN', 'NNP', 'NNP', ',', 'PRP', 'VBZ', 'IN', 'DT', 'NN', 'VBZ', 'JJ', 'IN', 'CC', 'RB', 'IN', 'PRP', 'VBZ', 'TO', 'DT', 'NN', 'IN', 'NNS', 'IN', 'DT', 'NN', '.']","['Originating', 'with', 'Aristotle', 'and', 'refine', 'by', 'thinker', 'like', 'Bertrand', 'Russell', ',', 'it', 'posit', 'that', 'a', 'statement', 'be', 'true', 'if', 'and', 'only', 'if', 'it', 'correspond', 'to', 'a', 'state', 'of', 'affair', 'in', 'the', 'world', '.']",0.45454545454545453,1.2664960954057358e-05,1.6827945456527231,0.002114807451213798,0.6486,1.617,0.23352506162695152,8,0.36363636363636365,2,2,0.18181818181818182,False,LLM,2026-05-15_142723
"""The cat is on the mat"" is true if there is, in fact, a cat on the mat.","['``', 'DT', 'NN', 'VBZ', 'IN', 'DT', 'NN', ""''"", 'VBZ', 'JJ', 'IN', 'EX', 'VBZ', ',', 'IN', 'NN', ',', 'DT', 'NN', 'IN', 'DT', 'NN', '.']","['``', 'The', 'cat', 'be', 'on', 'the', 'mat', ""''"", 'be', 'true', 'if', 'there', 'be', ',', 'in', 'fact', ',', 'a', 'cat', 'on', 'the', 'mat', '.']",0.391304347826087,1.84256354817553e-05,1.781105162787147,0.002410025706940874,0.4215,1.3899,0.23352506162695152,6,0.34782608695652173,2,0,0.08695652173913043,True,LLM,2026-05-15_142723
