sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The socioeconomic effects of aging populations in developed nations.,"['NNS', 'VBP', 'DT', 'JJ', 'NNS', 'IN', 'VBG', 'NNS', 'IN', 'JJ', 'NNS', '.']","['Lets', 'discuss', 'The', 'socioeconomic', 'effect', 'of', 'age', 'population', 'in', 'developed', 'nation', '.']",0.6666666666666666,6.624574605196163e-07,1.2563886328259322,0.0006478209658421672,0.0,0.996,0.24719648951730863,7,0.08333333333333333,0,0,0.08333333333333333,True,LLM,2026-05-15_142852
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.996,0.24719648951730863,1,0.0,0,0,0.0,True,LLM,2026-05-15_142852
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,1.3984442307932423e-06,1.1155467020454342,0.0010600706713780918,0.0,0.996,0.24719648951730863,3,0.2,0,0,0.0,True,LLM,2026-05-15_142852
"The phenomenon of the ""demographic transition""—characterized by declining fertility rates and increasing life expectancy—represents one of the most profound structural shifts in the history of developed nations.","['DT', 'NN', 'IN', 'DT', '``', 'JJ', 'NN', ""''"", 'NNS', 'VBN', 'IN', 'VBG', 'NN', 'NNS', 'CC', 'VBG', 'NN', 'NN', 'VBD', 'VBZ', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NNS', '.']","['The', 'phenomenon', 'of', 'the', '``', 'demographic', 'transition', ""''"", '—', 'characterize', 'by', 'decline', 'fertility', 'rate', 'and', 'increase', 'life', 'expectancy', '—', 'represent', 'one', 'of', 'the', 'most', 'profound', 'structural', 'shift', 'in', 'the', 'history', 'of', 'developed', 'nation', '.']",0.5882352941176471,1.7953570054028334e-05,2.4317773344716604,0.0017424150115754845,0.0,0.996,0.24719648951730863,9,0.5161290322580645,0,1,0.06451612903225806,True,LLM,2026-05-15_142852
"As a scholar observing this trajectory, I view this not merely as a clinical statistical trend, but as a fundamental reconfiguration of the social contract.","['IN', 'DT', 'NN', 'VBG', 'DT', 'NN', ',', 'PRP', 'VBP', 'DT', 'RB', 'RB', 'IN', 'DT', 'JJ', 'JJ', 'NN', ',', 'CC', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']","['As', 'a', 'scholar', 'observe', 'this', 'trajectory', ',', 'I', 'view', 'this', 'not', 'merely', 'a', 'a', 'clinical', 'statistical', 'trend', ',', 'but', 'a', 'a', 'fundamental', 'reconfiguration', 'of', 'the', 'social', 'contract', '.']",0.4642857142857143,2.2610479112308914e-05,2.226662288482228,0.0021355046858196345,0.0,0.996,0.24719648951730863,6,0.2857142857142857,0,1,0.03571428571428571,True,LLM,2026-05-15_142852
"When we analyze the socioeconomic implications, I believe we must categorize them into four primary vectors:

### 1.","['WRB', 'PRP', 'VBP', 'DT', 'JJ', 'NNS', ',', 'PRP', 'VBP', 'PRP', 'MD', 'VB', 'PRP', 'IN', 'CD', 'JJ', 'NNS', ':', '#', '#', '#', 'CD', '.']","['When', 'we', 'analyze', 'the', 'socioeconomic', 'implication', ',', 'I', 'believe', 'we', 'must', 'categorize', 'them', 'into', 'four', 'primary', 'vector', ':', '#', '#', '#', '1', '.']",0.30434782608695654,2.8073767933174347e-05,2.3429165184658203,0.0022614840989399294,0.0,0.996,0.24719648951730863,6,0.3333333333333333,2,0,-0.041666666666666664,True,LLM,2026-05-15_142852
"The Erosion of the Fiscal Equilibrium
The most immediate challenge is the sustainability of the ""pay-as-you-go"" social welfare model.","['DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'DT', 'RBS', 'JJ', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'DT', '``', 'JJ', ""''"", 'JJ', 'NN', 'NN', '.']","['The', 'Erosion', 'of', 'the', 'Fiscal', 'Equilibrium', 'The', 'most', 'immediate', 'challenge', 'be', 'the', 'sustainability', 'of', 'the', '``', 'pay-as-you-go', ""''"", 'social', 'welfare', 'model', '.']",0.5454545454545454,2.9134254808192554e-05,2.6956327617387297,0.0020023557126030624,0.1477,0.8483,0.24719648951730863,8,0.3793103448275862,0,0,-0.13793103448275862,False,LLM,2026-05-15_142852
"Developed nations typically rely on a robust base of young, working-age taxpayers to fund pensions and healthcare for the retired cohort.","['VBN', 'NNS', 'RB', 'VBP', 'IN', 'DT', 'JJ', 'NN', 'IN', 'JJ', ',', 'JJ', 'NNS', 'TO', 'VB', 'NNS', 'CC', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']","['Developed', 'nation', 'typically', 'rely', 'on', 'a', 'robust', 'base', 'of', 'young', ',', 'working-age', 'taxpayer', 'to', 'fund', 'pension', 'and', 'healthcare', 'for', 'the', 'retired', 'cohort', '.']",0.6086956521739131,2.1665405742727475e-05,2.8052652337256934,0.0016592410508526657,0.34,0.6559999999999999,0.24719648951730863,7,0.12,0,1,-0.08,True,LLM,2026-05-15_142852
"As the dependency ratio skews—meaning fewer workers supporting more retirees—we face three inevitable pressures:
*   **Taxation:** An increased fiscal burden on a shrinking workforce, which may dampen consumption and investment.","['IN', 'DT', 'NN', 'NN', 'VBZ', 'JJ', 'VBG', 'JJR', 'NNS', 'VBG', 'JJR', 'NNS', 'IN', 'PRP', 'VBP', 'CD', 'JJ', 'NNS', ':', 'NN', 'NNP', 'NNP', 'NNP', ':', 'NN', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'DT', 'NN', 'NN', ',', 'WDT', 'MD', 'VB', 'NN', 'CC', 'NN', '.']","['As', 'the', 'dependency', 'ratio', 'skew', '—', 'mean', 'few', 'worker', 'support', 'more', 'retiree', '—', 'we', 'face', 'three', 'inevitable', 'pressure', ':', '*', '*', '*', 'Taxation', ':', '*', '*', 'An', 'increased', 'fiscal', 'burden', 'on', 'a', 'shrinking', 'workforce', ',', 'which', 'may', 'dampen', 'consumption', 'and', 'investment', '.']",0.6428571428571429,1.629629937928622e-05,2.6030130569868017,0.0015508441303494307,-0.0516,1.0476,0.24719648951730863,8,0.5185185185185185,0,0,0.2222222222222222,False,LLM,2026-05-15_142852
"*   **Debt Sustainability:** Governments are forced to borrow more to bridge the gap, potentially crowding out private sector investment.","['JJ', 'NNP', 'NNP', 'NNP', 'NNP', ':', 'NN', 'NN', 'NNS', 'VBP', 'VBN', 'TO', 'VB', 'JJR', 'TO', 'VB', 'DT', 'NN', ',', 'RB', 'VBG', 'RP', 'JJ', 'NN', 'NN', '.']","['*', '*', '*', 'Debt', 'Sustainability', ':', '*', '*', 'Governments', 'be', 'force', 'to', 'borrow', 'more', 'to', 'bridge', 'the', 'gap', ',', 'potentially', 'crowd', 'out', 'private', 'sector', 'investment', '.']",0.7307692307692307,2.4039582495086465e-05,3.0352743903970207,0.0016153457849570926,-0.4588,1.4548,0.24719648951730863,5,0.38461538461538464,2,0,0.19230769230769232,False,LLM,2026-05-15_142852
