sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The influence of architecture on human behavior and mental health.,"['NNS', 'VBP', 'DT', 'NN', 'IN', 'NN', 'IN', 'JJ', 'NN', 'CC', 'JJ', 'NN', '.']","['Lets', 'discuss', 'The', 'influence', 'of', 'architecture', 'on', 'human', 'behavior', 'and', 'mental', 'health', '.']",0.6153846153846154,2.5555665608756302e-05,1.7100474124356253,0.0029562111227443492,0.0,0.9905,0.2563773169388879,6,0.07692307692307693,0,1,0.3076923076923077,False,LLM,2026-05-15_142224
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9905,0.2563773169388879,1,0.0,0,0,0.0,True,LLM,2026-05-15_142224
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,5.769227071008287e-07,0.9486832980505138,0.0008006405124099279,0.0,0.9905,0.2563773169388879,3,0.2,0,0,0.0,True,LLM,2026-05-15_142224
"To engage with this subject, we must first abandon the notion that architecture is merely a static container for human activity.","['TO', 'VB', 'IN', 'DT', 'NN', ',', 'PRP', 'MD', 'RB', 'VB', 'DT', 'NN', 'IN', 'NN', 'VBZ', 'RB', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NN', '.']","['To', 'engage', 'with', 'this', 'subject', ',', 'we', 'must', 'first', 'abandon', 'the', 'notion', 'that', 'architecture', 'be', 'merely', 'a', 'static', 'container', 'for', 'human', 'activity', '.']",0.5217391304347826,2.6503182080142356e-05,1.7196530458674413,0.0029936993072719044,-0.128,1.1185,0.2563773169388879,7,0.391304347826087,1,0,-0.17391304347826086,False,LLM,2026-05-15_142224
"Rather, as the architectural theorist Juhani Pallasmaa has argued, architecture is an extension of the body and the mind—a ""sculpted space"" that acts as a silent mediator between the individual and the world.","['RB', ',', 'IN', 'DT', 'JJ', 'NN', 'NNP', 'NNP', 'VBZ', 'VBN', ',', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN', 'VBZ', 'DT', '``', 'JJ', 'NN', ""''"", 'WDT', 'VBZ', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN', '.']","['Rather', ',', 'a', 'the', 'architectural', 'theorist', 'Juhani', 'Pallasmaa', 'have', 'argue', ',', 'architecture', 'be', 'an', 'extension', 'of', 'the', 'body', 'and', 'the', 'mind', '—', 'a', '``', 'sculpted', 'space', ""''"", 'that', 'act', 'a', 'a', 'silent', 'mediator', 'between', 'the', 'individual', 'and', 'the', 'world', '.']",0.5,2.0361158572574634e-05,2.01507226014387,0.002239291433146517,-0.3612,1.3517000000000001,0.2563773169388879,11,0.3,2,2,-0.175,False,LLM,2026-05-15_142225
"When we consider the intersection of built environments, human behavior, and mental health, we are essentially examining the **environmental psychology of spatial perception.","['WRB', 'PRP', 'VBP', 'DT', 'NN', 'IN', 'JJ', 'NNS', ',', 'JJ', 'NN', ',', 'CC', 'JJ', 'NN', ',', 'PRP', 'VBP', 'RB', 'VBG', 'DT', 'NN', 'NNP', 'JJ', 'NN', 'IN', 'JJ', 'NN', '.']","['When', 'we', 'consider', 'the', 'intersection', 'of', 'built', 'environment', ',', 'human', 'behavior', ',', 'and', 'mental', 'health', ',', 'we', 'be', 'essentially', 'examine', 'the', '*', '*', 'environmental', 'psychology', 'of', 'spatial', 'perception', '.']",0.5862068965517241,1.6093489756366535e-05,1.536576280783569,0.002610784279597591,0.0,0.9905,0.2563773169388879,8,0.6551724137931034,1,1,-0.06896551724137931,True,LLM,2026-05-15_142225
"** Here are my thoughts on the foundational pillars of this influence:

### 1.","['NN', 'NN', 'RB', 'VBP', 'PRP$', 'NNS', 'IN', 'DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', ':', '#', '#', '#', 'CD', '.']","['*', '*', 'Here', 'be', 'my', 'thought', 'on', 'the', 'foundational', 'pillar', 'of', 'this', 'influence', ':', '#', '#', '#', '1', '.']",0.42105263157894735,1.826859305699163e-05,2.406060917982636,0.0017764211369095276,0.0,0.9905,0.2563773169388879,7,0.15,0,0,0.05,True,LLM,2026-05-15_142225
"The Biophilic Imperative
The human nervous system evolved over hundreds of thousands of years in complex, organic environments.","['DT', 'NNP', 'NNP', 'DT', 'JJ', 'JJ', 'NN', 'VBD', 'IN', 'NNS', 'IN', 'NNS', 'IN', 'NNS', 'IN', 'JJ', ',', 'JJ', 'NNS', '.']","['The', 'Biophilic', 'Imperative', 'The', 'human', 'nervous', 'system', 'evolve', 'over', 'hundred', 'of', 'thousand', 'of', 'year', 'in', 'complex', ',', 'organic', 'environment', '.']",0.6,4.487176610784224e-06,1.9843134832984426,0.0010675206832132373,-0.2732,1.2637,0.2563773169388879,6,0.38095238095238093,0,0,-0.19047619047619047,False,LLM,2026-05-15_142225
"Modern architecture, characterized by rigid geometries, sterile surfaces, and artificial lighting, often creates a state of ""sensory deprivation"" or ""sensory dissonance.""","['JJ', 'NN', ',', 'VBN', 'IN', 'JJ', 'NNS', ',', 'JJ', 'NNS', ',', 'CC', 'JJ', 'NN', ',', 'RB', 'VBZ', 'DT', 'NN', 'IN', '``', 'JJ', 'NN', ""''"", 'CC', '``', 'JJ', 'NN', '.', ""''""]","['Modern', 'architecture', ',', 'characterize', 'by', 'rigid', 'geometry', ',', 'sterile', 'surface', ',', 'and', 'artificial', 'lighting', ',', 'often', 'create', 'a', 'state', 'of', '``', 'sensory', 'deprivation', ""''"", 'or', '``', 'sensory', 'dissonance', '.', ""''""]",0.5333333333333333,1.2991611597257523e-05,1.9467590893670215,0.0018514811849479583,-0.296,1.2865,0.2563773169388879,8,0.5333333333333333,0,2,0.23333333333333334,False,LLM,2026-05-15_142225
"Research into **Biophilic Design** suggests that the inclusion of natural light, fractals (patterns found in nature), and living elements reduces cortisol levels and accelerates autonomic nervous system recovery.","['NN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VBZ', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NN', ',', 'NNS', '(', 'NNS', 'VBN', 'IN', 'NN', ')', ',', 'CC', 'VBG', 'NNS', 'NNS', 'NN', 'NNS', 'CC', 'VBZ', 'VBP', 'JJ', 'NN', 'NN', '.']","['Research', 'into', '*', '*', 'Biophilic', 'Design', '*', '*', 'suggest', 'that', 'the', 'inclusion', 'of', 'natural', 'light', ',', 'fractal', '(', 'pattern', 'find', 'in', 'nature', ')', ',', 'and', 'live', 'element', 'reduces', 'cortisol', 'level', 'and', 'accelerate', 'autonomic', 'nervous', 'system', 'recovery', '.']",0.6756756756756757,9.47515418259347e-06,2.796101181678127,0.001100880704563651,0.1027,0.8878,0.2563773169388879,8,0.21621621621621623,1,2,0.3783783783783784,False,LLM,2026-05-15_142225
"When we isolate the human from the natural world through concrete barriers, we inadvertently trigger a latent ""fight-or-flight"" response, which, when sustained, contributes to chronic anxiety and cognitive fatigue.","['WRB', 'PRP', 'VBP', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', ',', 'PRP', 'RB', 'VBD', 'DT', 'JJ', '``', 'JJ', ""''"", 'NN', ',', 'WDT', ',', 'WRB', 'VBN', ',', 'VBZ', 'TO', 'VB', 'NN', 'CC', 'JJ', 'NN', '.']","['When', 'we', 'isolate', 'the', 'human', 'from', 'the', 'natural', 'world', 'through', 'concrete', 'barrier', ',', 'we', 'inadvertently', 'trigger', 'a', 'latent', '``', 'fight-or-flight', ""''"", 'response', ',', 'which', ',', 'when', 'sustain', ',', 'contribute', 'to', 'chronic', 'anxiety', 'and', 'cognitive', 'fatigue', '.']",0.4722222222222222,1.3326454276579845e-05,1.800577348007481,0.002027428394328366,-0.25,1.2405,0.2563773169388879,7,0.375,3,2,-0.175,False,LLM,2026-05-15_142225
### 2.,"['#', '#', '#', 'CD', '.']","['#', '#', '#', '2', '.']",0.0,1.2820504602240636e-06,1.4142135623730951,0.0008006405124099279,0.0,0.9905,0.2563773169388879,2,0.4,0,0,0.0,True,LLM,2026-05-15_142225
"Prospect and Refuge Theory
Developed by geographer Jay Appleton, the *Prospect-Refuge Theory* remains one of the most compelling explanations for how interior spaces affect our psychological state.","['NNP', 'CC', 'NNP', 'NNP', 'NNP', 'IN', 'NN', 'NNP', 'NNP', ',', 'DT', 'JJ', 'NNP', 'NNP', 'NNP', 'VBZ', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'WRB', 'JJ', 'NNS', 'VBP', 'PRP$', 'JJ', 'NN', '.']","['Prospect', 'and', 'Refuge', 'Theory', 'Developed', 'by', 'geographer', 'Jay', 'Appleton', ',', 'the', '*', 'Prospect-Refuge', 'Theory', '*', 'remain', 'one', 'of', 'the', 'most', 'compelling', 'explanation', 'for', 'how', 'interior', 'space', 'affect', 'our', 'psychological', 'state', '.']",0.6451612903225806,1.1275789148172835e-05,2.638966832146445,0.0012724465286514926,0.5256,0.4649000000000001,0.2563773169388879,8,0.5294117647058824,0,1,-0.029411764705882353,True,LLM,2026-05-15_142225
"*   **Refuge:** The need for a protected, enclosed space where one feels safe from being observed.","['JJ', 'NNP', 'NNP', 'NNP', ':', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', ',', 'VBD', 'NN', 'WRB', 'CD', 'NNS', 'JJ', 'IN', 'VBG', 'VBN', '.']","['*', '*', '*', 'Refuge', ':', '*', '*', 'The', 'need', 'for', 'a', 'protected', ',', 'enclose', 'space', 'where', 'one', 'feel', 'safe', 'from', 'be', 'observe', '.']",0.5652173913043478,3.9509172770062905e-06,1.8867962264113205,0.0010534743584341157,0.7003,0.2902,0.2563773169388879,2,0.0,0,0,0.8571428571428571,False,LLM,2026-05-15_142225
