sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
"As a result , although we still make use of this distinction , there is much confusion as to the meaning of the basic terms employed .","['IN', 'DT', 'NN', ',', 'IN', 'PRP', 'RB', 'VBP', 'NN', 'IN', 'DT', 'NN', ',', 'EX', 'VBZ', 'JJ', 'NN', 'IN', 'TO', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NNS', 'VBN', '.']","['As', 'a', 'result', ',', 'although', 'we', 'still', 'make', 'use', 'of', 'this', 'distinction', ',', 'there', 'be', 'much', 'confusion', 'a', 'to', 'the', 'meaning', 'of', 'the', 'basic', 'term', 'employ', '.']",0.4444444444444444,4.796897594826967e-06,2.0519782664160955,0.0010673515053990648,-0.296,1.296,0.12259056703213153,8,0.5185185185185185,1,0,-0.07407407407407407,True,HUMAN,2026-05-15_140528
Just what is meant by `` spirit '' and by `` matter '' ?,"['RB', 'WP', 'VBZ', 'VBN', 'IN', '``', 'JJ', '``', 'CC', 'IN', '``', 'NN', '``', '.']","['Just', 'what', 'be', 'mean', 'by', '``', 'spirit', '``', 'and', 'by', '``', 'matter', '``', '?']",0.35714285714285715,1.4166413040776032e-07,1.0200972982677692,0.0003689677031354128,0.2023,0.7977,0.12259056703213153,5,0.1875,0,1,0.0625,True,HUMAN,2026-05-15_140528
?,['.'],['?'],0.0,0.0,0.0,0.0,0.0,1.0,0.12259056703213153,1,0.0,0,0,0.0,True,HUMAN,2026-05-15_140528
The terms are generally taken for granted as though they referred to direct and axiomatic elements in the common experience of all .,"['DT', 'NNS', 'VBP', 'RB', 'VBN', 'IN', 'VBN', 'IN', 'IN', 'PRP', 'VBD', 'TO', 'VB', 'CC', 'JJ', 'NNS', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', '.']","['The', 'term', 'be', 'generally', 'take', 'for', 'grant', 'a', 'though', 'they', 'refer', 'to', 'direct', 'and', 'axiomatic', 'element', 'in', 'the', 'common', 'experience', 'of', 'all', '.']",0.4782608695652174,5.1194215658912725e-06,2.315013922434947,0.000977365128205853,0.25,0.75,0.12259056703213153,9,0.17391304347826086,2,1,0.0,True,HUMAN,2026-05-15_140528
Yet in the contemporary context this is precisely what one must not do .,"['RB', 'IN', 'DT', 'JJ', 'NN', 'DT', 'VBZ', 'RB', 'WP', 'CD', 'MD', 'RB', 'VB', '.']","['Yet', 'in', 'the', 'contemporary', 'context', 'this', 'be', 'precisely', 'what', 'one', 'must', 'not', 'do', '.']",0.5,8.609421992088214e-06,1.7747719189297786,0.0016532725275796973,0.0,1.0,0.12259056703213153,4,0.42857142857142855,1,1,-0.5,False,HUMAN,2026-05-15_140528
For in the modern world neither `` spirit '' nor `` matter '' refer to any generally agreed-upon elements of experience .,"['IN', 'IN', 'DT', 'JJ', 'NN', 'CC', '``', 'NN', '``', 'CC', '``', 'NN', '``', 'VB', 'TO', 'DT', 'RB', 'JJ', 'NNS', 'IN', 'NN', '.']","['For', 'in', 'the', 'modern', 'world', 'neither', '``', 'spirit', '``', 'nor', '``', 'matter', '``', 'refer', 'to', 'any', 'generally', 'agreed-upon', 'element', 'of', 'experience', '.']",0.4090909090909091,6.286740199785385e-06,2.359838413610887,0.0010625037961840545,-0.1511,1.1511,0.12259056703213153,5,0.5769230769230769,0,1,-0.038461538461538464,True,HUMAN,2026-05-15_140528
We are in a transitional stage in which many of the connotations of former usage have had to be revised or rejected .,"['PRP', 'VBP', 'IN', 'DT', 'JJ', 'NN', 'IN', 'WDT', 'JJ', 'IN', 'DT', 'NNS', 'IN', 'JJ', 'NN', 'VBP', 'VBN', 'TO', 'VB', 'VBN', 'CC', 'VBN', '.']","['We', 'be', 'in', 'a', 'transitional', 'stage', 'in', 'which', 'many', 'of', 'the', 'connotation', 'of', 'former', 'usage', 'have', 'have', 'to', 'be', 'revise', 'or', 'reject', '.']",0.5217391304347826,5.984487106185768e-06,2.510409310381148,0.0009744710263215539,-0.5106,1.5106000000000002,0.12259056703213153,10,0.043478260869565216,1,1,0.08695652173913043,True,HUMAN,2026-05-15_140528
"When the words are used , we are never sure which of the traditional meanings the user may have in mind , or to what extent his revisions and rejections of former understandings correspond to ours .","['WRB', 'DT', 'NNS', 'VBP', 'VBN', ',', 'PRP', 'VBP', 'RB', 'JJ', 'WDT', 'IN', 'DT', 'JJ', 'NNS', 'DT', 'NN', 'MD', 'VB', 'IN', 'NN', ',', 'CC', 'TO', 'WP', 'VB', 'PRP$', 'NNS', 'CC', 'NNS', 'IN', 'JJ', 'NNS', 'NN', 'TO', 'NNS', '.']","['When', 'the', 'word', 'be', 'use', ',', 'we', 'be', 'never', 'sure', 'which', 'of', 'the', 'traditional', 'meaning', 'the', 'user', 'may', 'have', 'in', 'mind', ',', 'or', 'to', 'what', 'extent', 'his', 'revision', 'and', 'rejection', 'of', 'former', 'understanding', 'correspond', 'to', 'ours', '.']",0.4864864864864865,4.063142467655012e-06,2.54092177782712,0.0007933041563789676,-0.6202,1.6202,0.12259056703213153,8,0.1891891891891892,3,2,0.05405405405405406,True,HUMAN,2026-05-15_140528
One of the most widespread features of contemporary thought is the almost universal disbelief in the reality of spirit .,"['CD', 'IN', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'JJ', 'NN', 'VBZ', 'DT', 'RB', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'NN', '.']","['One', 'of', 'the', 'most', 'widespread', 'feature', 'of', 'contemporary', 'thought', 'be', 'the', 'almost', 'universal', 'disbelief', 'in', 'the', 'reality', 'of', 'spirit', '.']",0.55,7.289869119946832e-06,2.420555320327458,0.0011154365034214847,0.1779,0.8221,0.12259056703213153,7,0.45,0,0,0.05,True,HUMAN,2026-05-15_140528
Just a few centuries ago the world of spirits was as populous and real as the world of material entities .,"['RB', 'DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'IN', 'NNS', 'VBD', 'IN', 'JJ', 'CC', 'JJ', 'IN', 'DT', 'NN', 'IN', 'NN', 'NNS', '.']","['Just', 'a', 'few', 'century', 'ago', 'the', 'world', 'of', 'spirit', 'be', 'a', 'populous', 'and', 'real', 'a', 'the', 'world', 'of', 'material', 'entity', '.']",0.5238095238095238,6.7444035483642215e-06,2.2154794691924065,0.0011722062815341177,0.0,1.0,0.12259056703213153,7,0.42857142857142855,0,1,0.0,True,HUMAN,2026-05-15_140528
