sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The pros and cons of algorithmic sentencing in criminal justice.,"['NNS', 'VBP', 'DT', 'NNS', 'CC', 'NNS', 'IN', 'JJ', 'NN', 'IN', 'JJ', 'NN', '.']","['Lets', 'discuss', 'The', 'pro', 'and', 'con', 'of', 'algorithmic', 'sentencing', 'in', 'criminal', 'justice', '.']",0.6153846153846154,9.420270011227649e-06,1.6267002938936992,0.0018867924528301887,-0.1531,0.845,0.24426566244436837,5,0.07692307692307693,0,1,0.3076923076923077,False,LLM,2026-05-15_143344
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9981,0.24426566244436837,1,0.0,0,0,0.0,True,LLM,2026-05-15_143344
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,5.354218583125667e-07,1.615893285805443,0.0004528301886792453,0.0,0.9981,0.24426566244436837,3,0.2,0,0,0.0,True,LLM,2026-05-15_143344
The integration of algorithmic sentencing—often referred to as Risk Assessment Instruments (RAIs)—into the judicial process represents one of the most significant shifts in legal theory and practice in the modern era.,"['DT', 'NN', 'IN', 'JJ', 'VBG', 'NN', 'RB', 'VBD', 'TO', 'IN', 'NNP', 'NNP', 'NNP', '(', 'NNP', ')', 'VBP', 'IN', 'DT', 'JJ', 'NN', 'VBZ', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'JJ', 'NN', 'CC', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']","['The', 'integration', 'of', 'algorithmic', 'sentence', '—', 'often', 'refer', 'to', 'a', 'Risk', 'Assessment', 'Instruments', '(', 'RAIs', ')', '—', 'into', 'the', 'judicial', 'process', 'represent', 'one', 'of', 'the', 'most', 'significant', 'shift', 'in', 'legal', 'theory', 'and', 'practice', 'in', 'the', 'modern', 'era', '.']",0.5789473684210527,1.5123368707627095e-05,2.0242996605360224,0.0019210977701543737,0.1263,1.1244,0.24426566244436837,11,0.2,1,1,0.11428571428571428,False,LLM,2026-05-15_143344
"As a scholar observing this transition, I view it as a collision between the pursuit of ""scientific"" objectivity and the deeply human, nuanced nature of justice.","['IN', 'DT', 'NN', 'VBG', 'DT', 'NN', ',', 'PRP', 'VBP', 'PRP', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', '``', 'JJ', ""''"", 'NN', 'CC', 'DT', 'NN', 'JJ', ',', 'JJ', 'NN', 'IN', 'NN', '.']","['As', 'a', 'scholar', 'observe', 'this', 'transition', ',', 'I', 'view', 'it', 'a', 'a', 'collision', 'between', 'the', 'pursuit', 'of', '``', 'scientific', ""''"", 'objectivity', 'and', 'the', 'deeply', 'human', ',', 'nuanced', 'nature', 'of', 'justice', '.']",0.41935483870967744,2.709261481198245e-05,1.9601147572261794,0.002655485674353599,0.2263,1.2244,0.24426566244436837,10,0.25806451612903225,0,1,0.0,True,LLM,2026-05-15_143344
"To examine this objectively, we must weigh the utilitarian promise of efficiency against the philosophical danger of moral delegation to machines.","['TO', 'VB', 'DT', 'RB', ',', 'PRP', 'MD', 'VB', 'DT', 'JJ', 'NN', 'IN', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NN', 'TO', 'NNS', '.']","['To', 'examine', 'this', 'objectively', ',', 'we', 'must', 'weigh', 'the', 'utilitarian', 'promise', 'of', 'efficiency', 'against', 'the', 'philosophical', 'danger', 'of', 'moral', 'delegation', 'to', 'machine', '.']",0.4782608695652174,2.7728817882914413e-05,1.7868454817719224,0.0029469901168014375,0.1027,1.1008,0.24426566244436837,6,0.30434782608695654,1,0,0.08695652173913043,True,LLM,2026-05-15_143344
"### The Arguments in Favor (The Utilitarian Perspective)

Proponents often ground their arguments in the potential for **systemic optimization**.","['#', '#', '#', 'DT', 'NNS', 'IN', 'NNP', '(', 'DT', 'NNP', 'NNP', ')', 'NNS', 'RB', 'VBP', 'PRP$', 'NNS', 'IN', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'JJ', 'NN', 'NNP', 'NNP', '.']","['#', '#', '#', 'The', 'Arguments', 'in', 'Favor', '(', 'The', 'Utilitarian', 'Perspective', ')', 'Proponents', 'often', 'grind', 'their', 'argument', 'in', 'the', 'potential', 'for', '*', '*', 'systemic', 'optimization', '*', '*', '.']",0.5357142857142857,2.133924888336728e-05,3.02437616891032,0.001527403414195867,-0.4019,0.5962000000000001,0.24426566244436837,6,0.15384615384615385,0,0,0.15384615384615385,True,LLM,2026-05-15_143344
1.,"['CD', '.']","['1', '.']",0.0,1.7443930224279105e-06,1.0,0.0013207547169811322,0.0,0.9981,0.24426566244436837,2,0.0,0,0,0.5,True,LLM,2026-05-15_143344
"**Reduction of Human Cognitive Bias:** Judges are human and susceptible to ""noise""—a term coined by Daniel Kahneman.","['JJ', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', ':', 'JJ', 'NN', 'NNS', 'VBP', 'JJ', 'CC', 'JJ', 'TO', '``', 'VB', ""''"", 'VB', 'DT', 'NN', 'VBN', 'IN', 'NNP', 'NNP', '.']","['*', '*', 'Reduction', 'of', 'Human', 'Cognitive', 'Bias', ':', '*', '*', 'Judges', 'be', 'human', 'and', 'susceptible', 'to', '``', 'noise', ""''"", '—', 'a', 'term', 'coin', 'by', 'Daniel', 'Kahneman', '.']",0.6666666666666666,1.1435465369249633e-05,2.8298958018463285,0.0011949685534591195,0.0,0.9981,0.24426566244436837,9,0.43478260869565216,0,1,0.2608695652173913,False,LLM,2026-05-15_143344
"Factors such as fatigue, hunger, or even the time of day can influence sentencing outcomes.","['NNS', 'JJ', 'IN', 'NN', ',', 'NN', ',', 'CC', 'RB', 'DT', 'NN', 'IN', 'NN', 'MD', 'VB', 'VBG', 'NNS', '.']","['Factors', 'such', 'a', 'fatigue', ',', 'hunger', ',', 'or', 'even', 'the', 'time', 'of', 'day', 'can', 'influence', 'sentence', 'outcome', '.']",0.5555555555555556,2.5563900512564042e-05,2.5030352302927072,0.0020199778024417316,-0.5574,0.4407,0.24426566244436837,8,0.7777777777777778,0,1,0.3888888888888889,False,LLM,2026-05-15_143344
