sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The relationship between language and the perception of reality.,"['NNS', 'VBP', 'DT', 'NN', 'IN', 'NN', 'CC', 'DT', 'NN', 'IN', 'NN', '.']","['Lets', 'discuss', 'The', 'relationship', 'between', 'language', 'and', 'the', 'perception', 'of', 'reality', '.']",0.5,7.343300136061167e-05,1.605459435800232,0.005337603416066186,0.0,0.9991,0.22714776632302405,7,0.08333333333333333,0,1,0.4166666666666667,False,LLM,2026-05-15_143010
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9991,0.22714776632302405,1,0.0,0,0,0.0,True,LLM,2026-05-15_143010
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,6.794867439187538e-07,1.286953767623375,0.0006405124099279423,0.0,0.9991,0.22714776632302405,3,0.2,0,0,0.0,True,LLM,2026-05-15_143010
The relationship between language and the perception of reality is perhaps one of the most profound inquiries in the humanities.,"['DT', 'NN', 'IN', 'NN', 'CC', 'DT', 'NN', 'IN', 'NN', 'VBZ', 'RB', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'DT', 'NNS', '.']","['The', 'relationship', 'between', 'language', 'and', 'the', 'perception', 'of', 'reality', 'be', 'perhaps', 'one', 'of', 'the', 'most', 'profound', 'inquiry', 'in', 'the', 'humanity', '.']",0.47619047619047616,5.2087256892467495e-05,1.7261273469610126,0.004181122675918513,0.0,0.9991,0.22714776632302405,7,0.42857142857142855,0,1,0.2857142857142857,False,LLM,2026-05-15_143010
"It touches upon the intersection of cognitive science, linguistics, philosophy, and anthropology.","['PRP', 'VBZ', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NN', ',', 'NNS', ',', 'NN', ',', 'CC', 'NN', '.']","['It', 'touch', 'upon', 'the', 'intersection', 'of', 'cognitive', 'science', ',', 'linguistics', ',', 'philosophy', ',', 'and', 'anthropology', '.']",0.4375,2.915765399365455e-05,2.517882708414618,0.0021445728010980212,0.0,0.9991,0.22714776632302405,8,0.0625,0,1,0.5625,False,LLM,2026-05-15_143010
"To address this, we must navigate the tension between **linguistic determinism**—the idea that language shapes our thoughts—and **universalism**—the idea that our cognitive architecture is shared regardless of the languages we speak.","['TO', 'VB', 'DT', ',', 'PRP', 'MD', 'VB', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'JJ', 'NN', 'NNP', 'NNP', 'VBD', 'DT', 'NN', 'WDT', 'NN', 'VBZ', 'PRP$', 'NNS', 'NN', 'CC', 'NNP', 'NNP', 'NN', 'NNP', 'NNP', 'VBD', 'DT', 'NN', 'IN', 'PRP$', 'JJ', 'NN', 'VBZ', 'VBN', 'RB', 'IN', 'DT', 'NNS', 'PRP', 'VBP', '.']","['To', 'address', 'this', ',', 'we', 'must', 'navigate', 'the', 'tension', 'between', '*', '*', 'linguistic', 'determinism', '*', '*', '—', 'the', 'idea', 'that', 'language', 'shape', 'our', 'thought', '—', 'and', '*', '*', 'universalism', '*', '*', '—', 'the', 'idea', 'that', 'our', 'cognitive', 'architecture', 'be', 'share', 'regardless', 'of', 'the', 'language', 'we', 'speak', '.']",0.6170212765957447,3.415810665576691e-05,1.925897461481592,0.0030346858131666626,0.0258,0.9732999999999999,0.22714776632302405,8,0.15384615384615385,3,1,-0.05128205128205128,True,LLM,2026-05-15_143010
Here is a breakdown of this complex nexus through a scholarly lens.,"['RB', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']","['Here', 'be', 'a', 'breakdown', 'of', 'this', 'complex', 'nexus', 'through', 'a', 'scholarly', 'lens', '.']",0.5384615384615384,7.601045697335378e-07,1.0453707476297585,0.0008340005337603416,0.0,0.9991,0.22714776632302405,5,0.07692307692307693,0,0,0.0,True,LLM,2026-05-15_143010
### 1.,"['#', '#', '#', 'CD', '.']","['#', '#', '#', '1', '.']",0.0,1.2820504602240636e-06,1.4142135623730951,0.0008006405124099279,0.0,0.9991,0.22714776632302405,2,0.4,0,0,0.0,True,LLM,2026-05-15_143010
The Sapir-Whorf Hypothesis: The Strong vs.,"['DT', 'JJ', 'NN', ':', 'DT', 'NNP', 'NN', '.']","['The', 'Sapir-Whorf', 'Hypothesis', ':', 'The', 'Strong', 'v', '.']",0.5,7.064359678785659e-07,2.4494897427831783,0.00034313164817568337,0.5106,0.48849999999999993,0.22714776632302405,3,0.4444444444444444,0,0,-0.2222222222222222,True,LLM,2026-05-15_143010
"The Weak
The conversation often begins with Edward Sapir and Benjamin Lee Whorf.","['DT', 'NNP', 'DT', 'NN', 'RB', 'VBZ', 'IN', 'NNP', 'NNP', 'CC', 'NNP', 'NNP', 'NNP', '.']","['The', 'Weak', 'The', 'conversation', 'often', 'begin', 'with', 'Edward', 'Sapir', 'and', 'Benjamin', 'Lee', 'Whorf', '.']",0.6428571428571429,1.3844627750940338e-07,1.7261494247992248,0.00021555706103344212,-0.4404,1.4395,0.22714776632302405,5,0.4,0,1,-0.13333333333333333,True,LLM,2026-05-15_143010
