sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The feasibility of a cashless global society.,"['NNS', 'VBP', 'DT', 'NN', 'IN', 'DT', 'NN', 'JJ', 'NN', '.']","['Lets', 'discuss', 'The', 'feasibility', 'of', 'a', 'cashless', 'global', 'society', '.']",0.6,8.83867125490219e-06,1.1194134266449935,0.0026558465510881594,0.0,0.9979,0.24768914755220814,5,0.1,0,0,-0.1,True,LLM,2026-05-15_142305
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9979,0.24768914755220814,1,0.0,0,0,0.0,True,LLM,2026-05-15_142305
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,1.9375412356805294e-06,1.4513817126240929,0.0009590556990040575,0.0,0.9979,0.24768914755220814,3,0.2,0,0,0.0,True,LLM,2026-05-15_142305
"To analyze the feasibility of a cashless global society, we must move beyond the superficial convenience of digital transactions and examine the intersection of macroeconomic stability, socio-technical infrastructure, and the erosion of individual autonomy.","['TO', 'VB', 'DT', 'NN', 'IN', 'DT', 'NN', 'JJ', 'NN', ',', 'PRP', 'MD', 'VB', 'IN', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', 'CC', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NN', ',', 'JJ', 'NN', ',', 'CC', 'DT', 'NN', 'IN', 'JJ', 'NN', '.']","['To', 'analyze', 'the', 'feasibility', 'of', 'a', 'cashless', 'global', 'society', ',', 'we', 'must', 'move', 'beyond', 'the', 'superficial', 'convenience', 'of', 'digital', 'transaction', 'and', 'examine', 'the', 'intersection', 'of', 'macroeconomic', 'stability', ',', 'socio-technical', 'infrastructure', ',', 'and', 'the', 'erosion', 'of', 'individual', 'autonomy', '.']",0.5,2.6289174744168312e-05,1.6453182225062484,0.0031162950431829453,0.0,0.9979,0.24768914755220814,8,0.3,1,2,0.025,True,LLM,2026-05-15_142305
"From a scholarly perspective, the transition toward a ""cashless"" paradigm is not merely a technological evolution; it is a profound ontological shift in the nature of value, sovereignty, and the state’s relationship with the citizen.","['IN', 'DT', 'JJ', 'NN', ',', 'DT', 'NN', 'IN', 'DT', '``', 'NN', ""''"", 'NN', 'VBZ', 'RB', 'RB', 'DT', 'JJ', 'NN', ':', 'PRP', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'NN', ',', 'NN', ',', 'CC', 'DT', 'NN', 'NNP', 'NN', 'NN', 'IN', 'DT', 'NN', '.']","['From', 'a', 'scholarly', 'perspective', ',', 'the', 'transition', 'toward', 'a', '``', 'cashless', ""''"", 'paradigm', 'be', 'not', 'merely', 'a', 'technological', 'evolution', ';', 'it', 'be', 'a', 'profound', 'ontological', 'shift', 'in', 'the', 'nature', 'of', 'value', ',', 'sovereignty', ',', 'and', 'the', 'state', '’', 's', 'relationship', 'with', 'the', 'citizen', '.']",0.5,2.07200508685657e-05,1.777406225462102,0.0025609948885492967,0.34,0.6578999999999999,0.24768914755220814,11,0.4883720930232558,1,1,-0.046511627906976744,True,LLM,2026-05-15_142305
"Here is an analysis of the primary dimensions of this transition:

### 1.","['RB', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', ':', '#', '#', '#', 'CD', '.']","['Here', 'be', 'an', 'analysis', 'of', 'the', 'primary', 'dimension', 'of', 'this', 'transition', ':', '#', '#', '#', '1', '.']",0.35294117647058826,3.6301824351296274e-05,2.2201614327866213,0.00271381145597302,0.0,0.9979,0.24768914755220814,7,0.05555555555555555,0,0,0.2777777777777778,False,LLM,2026-05-15_142305
"The Paradox of Sovereignty and Control
Cash represents a decentralized form of value—a ""bearer instrument"" that requires no intermediary for validation.","['DT', 'NNP', 'IN', 'NNP', 'CC', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NN', 'VBP', 'DT', '``', 'NN', 'NN', ""''"", 'WDT', 'VBZ', 'DT', 'JJ', 'IN', 'NN', '.']","['The', 'Paradox', 'of', 'Sovereignty', 'and', 'Control', 'Cash', 'represent', 'a', 'decentralized', 'form', 'of', 'value', '—', 'a', '``', 'bearer', 'instrument', ""''"", 'that', 'require', 'no', 'intermediary', 'for', 'validation', '.']",0.5384615384615384,1.5070899027145972e-06,1.7364109171926831,0.0007069961883683758,-0.3818,1.3797,0.24768914755220814,7,0.2962962962962963,1,1,0.2222222222222222,False,LLM,2026-05-15_142305
"By moving to a purely digital architecture, the state or the central bank achieves unprecedented *monetary granularity*.","['IN', 'VBG', 'TO', 'DT', 'RB', 'JJ', 'NN', ',', 'DT', 'NN', 'CC', 'DT', 'JJ', 'NN', 'NNS', 'JJ', 'NNP', 'JJ', 'NN', 'NNP', '.']","['By', 'move', 'to', 'a', 'purely', 'digital', 'architecture', ',', 'the', 'state', 'or', 'the', 'central', 'bank', 'achieves', 'unprecedented', '*', 'monetary', 'granularity', '*', '.']",0.6190476190476191,4.1263736515745976e-05,1.688151126944874,0.003805160263254965,0.0,0.9979,0.24768914755220814,7,0.6666666666666666,0,1,-0.19047619047619047,False,LLM,2026-05-15_142305
"While proponents argue this allows for precise implementation of monetary policy (e.g., negative interest rates to spur spending), it also facilitates a totalizing mechanism of social control.","['IN', 'NNS', 'VBP', 'DT', 'VBZ', 'IN', 'JJ', 'NN', 'IN', 'JJ', 'NN', '(', 'JJ', ',', 'JJ', 'NN', 'NNS', 'TO', 'VB', 'NN', ')', ',', 'PRP', 'RB', 'VBZ', 'DT', 'VBG', 'NN', 'IN', 'JJ', 'NN', '.']","['While', 'proponent', 'argue', 'this', 'allow', 'for', 'precise', 'implementation', 'of', 'monetary', 'policy', '(', 'e.g.', ',', 'negative', 'interest', 'rate', 'to', 'spur', 'spending', ')', ',', 'it', 'also', 'facilitate', 'a', 'totalize', 'mechanism', 'of', 'social', 'control', '.']",0.59375,1.28201854545653e-06,1.1510864433221337,0.0009836468707733923,-0.4767,1.4746000000000001,0.24768914755220814,8,0.75,3,0,-0.09375,False,LLM,2026-05-15_142305
"In a cashless society, the capacity for ""financial excommunication"" becomes absolute.","['IN', 'DT', 'NN', 'NN', ',', 'DT', 'NN', 'IN', '``', 'JJ', 'NN', ""''"", 'VBZ', 'NN', '.']","['In', 'a', 'cashless', 'society', ',', 'the', 'capacity', 'for', '``', 'financial', 'excommunication', ""''"", 'become', 'absolute', '.']",0.4666666666666667,3.689673562853053e-05,1.7518448315611492,0.003467355219476208,0.0,0.9979,0.24768914755220814,5,0.8,0,0,-0.13333333333333333,True,LLM,2026-05-15_142305
"A government or private entity could, with a keystroke, disable an individual’s ability to participate in the economy.","['DT', 'NN', 'CC', 'JJ', 'NN', 'MD', ',', 'IN', 'DT', 'NN', ',', 'JJ', 'DT', 'JJ', 'NN', 'NN', 'NN', 'TO', 'VB', 'IN', 'DT', 'NN', '.']","['A', 'government', 'or', 'private', 'entity', 'could', ',', 'with', 'a', 'keystroke', ',', 'disable', 'an', 'individual', '’', 's', 'ability', 'to', 'participate', 'in', 'the', 'economy', '.']",0.4782608695652174,2.6391780110399085e-05,1.9392305912427894,0.002649139867878341,0.3182,0.6797,0.24768914755220814,6,0.5,0,1,-0.13636363636363635,False,LLM,2026-05-15_142305
"The feasibility of such a system, therefore, rests on the assumption of a benevolent, perpetually stable governance, a condition rarely met in historical political theory.","['DT', 'NN', 'IN', 'PDT', 'DT', 'NN', ',', 'RB', ',', 'NNS', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', ',', 'RB', 'JJ', 'NN', ',', 'DT', 'NN', 'RB', 'VBN', 'IN', 'JJ', 'JJ', 'NN', '.']","['The', 'feasibility', 'of', 'such', 'a', 'system', ',', 'therefore', ',', 'rest', 'on', 'the', 'assumption', 'of', 'a', 'benevolent', ',', 'perpetually', 'stable', 'governance', ',', 'a', 'condition', 'rarely', 'meet', 'in', 'historical', 'political', 'theory', '.']",0.5,2.3795957435714378e-05,2.1445226405272835,0.00227468338866347,0.7096,0.2883,0.24768914755220814,8,0.8,1,0,-0.36666666666666664,False,LLM,2026-05-15_142305
### 2.,"['#', '#', '#', 'CD', '.']","['#', '#', '#', '2', '.']",0.0,1.0885063121800725e-06,1.4142135623730951,0.0007377351530800442,0.0,0.9979,0.24768914755220814,2,0.4,0,0,0.0,True,LLM,2026-05-15_142305
"The Technological and Inclusionary Divide
The ""digital divide"" remains the most significant material barrier to a cashless global society.","['DT', 'NNP', 'CC', 'NNP', 'NNP', 'DT', '``', 'JJ', 'NN', ""''"", 'VBZ', 'DT', 'RBS', 'JJ', 'NN', 'NN', 'TO', 'DT', 'NN', 'JJ', 'NN', '.']","['The', 'Technological', 'and', 'Inclusionary', 'Divide', 'The', '``', 'digital', 'divide', ""''"", 'remain', 'the', 'most', 'significant', 'material', 'barrier', 'to', 'a', 'cashless', 'global', 'society', '.']",0.5909090909090909,3.578989008301826e-05,1.7831818184216124,0.0033549384342449634,0.0847,0.9132,0.24768914755220814,4,0.4782608695652174,0,1,-0.17391304347826086,False,LLM,2026-05-15_142305
"While urban centers in the Global North exhibit high penetration of digital payment infrastructure, vast swaths of the Global South—and indeed, impoverished pockets of developed nations—rely on the informal, cash-based economy.","['IN', 'JJ', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'RB', 'JJ', 'NN', 'IN', 'JJ', 'NN', 'NN', ',', 'JJ', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'CC', 'RB', ',', 'JJ', 'NNS', 'IN', 'JJ', 'NNS', 'VBP', 'RB', 'IN', 'DT', 'JJ', ',', 'JJ', 'NN', '.']","['While', 'urban', 'center', 'in', 'the', 'Global', 'North', 'exhibit', 'high', 'penetration', 'of', 'digital', 'payment', 'infrastructure', ',', 'vast', 'swath', 'of', 'the', 'Global', 'South', '—', 'and', 'indeed', ',', 'impoverished', 'pocket', 'of', 'developed', 'nation', '—', 'rely', 'on', 'the', 'informal', ',', 'cash-based', 'economy', '.']",0.6410256410256411,2.5958213745459752e-05,2.3656475370580545,0.002153710688830452,0.0,0.9979,0.24768914755220814,9,0.7560975609756098,1,1,-0.14634146341463414,False,LLM,2026-05-15_142305
"A forced transition risks the systematic disenfranchisement of the ""unbanked.""","['DT', 'JJ', 'NN', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'DT', '``', 'JJ', '.', ""''""]","['A', 'forced', 'transition', 'risk', 'the', 'systematic', 'disenfranchisement', 'of', 'the', '``', 'unbanked', '.', ""''""]",0.46153846153846156,4.271158926169777e-05,2.5012937828722346,0.002612812000491824,-0.6249,1.6228,0.24768914755220814,5,0.23076923076923078,0,0,-0.15384615384615385,True,LLM,2026-05-15_142305
"If value is exclusively digital, then participation in society becomes contingent upon the possession of hardware, biometric identity, and continuous internet connectivity.","['IN', 'NN', 'VBZ', 'RB', 'JJ', ',', 'RB', 'NN', 'IN', 'NN', 'NNS', 'VBP', 'IN', 'DT', 'NN', 'IN', 'NN', ',', 'JJ', 'NN', ',', 'CC', 'JJ', 'NN', 'NN', '.']","['If', 'value', 'be', 'exclusively', 'digital', ',', 'then', 'participation', 'in', 'society', 'becomes', 'contingent', 'upon', 'the', 'possession', 'of', 'hardware', ',', 'biometric', 'identity', ',', 'and', 'continuous', 'internet', 'connectivity', '.']",0.6153846153846154,3.15997539915262e-05,2.009607403858474,0.0027972457887618343,0.34,0.6578999999999999,0.24768914755220814,8,0.38461538461538464,1,1,0.11538461538461539,False,LLM,2026-05-15_142305
