sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The historical accuracy of modern national narratives.,"['NNS', 'VBP', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'JJ', 'NNS', '.']","['Lets', 'discuss', 'The', 'historical', 'accuracy', 'of', 'modern', 'national', 'narrative', '.']",0.7,1.1608513889807282e-05,1.1768400571393105,0.002895148669796557,0.0,0.9951,0.2324455205811138,5,0.1,0,0,-0.1,True,LLM,2026-05-15_142102
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9951,0.2324455205811138,1,0.0,0,0,0.0,True,LLM,2026-05-15_142102
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,1.01635722874895e-06,1.0736748938937606,0.0009389671361502347,0.0,0.9951,0.2324455205811138,3,0.2,0,0,0.0,True,LLM,2026-05-15_142102
"To engage with the historical accuracy of modern national narratives is to enter the domain of what the French historian Ernest Renan famously described as the ""necessary error.""","['TO', 'VB', 'IN', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'JJ', 'NNS', 'VBZ', 'TO', 'VB', 'DT', 'NN', 'IN', 'WP', 'DT', 'JJ', 'JJ', 'NNP', 'NNP', 'RB', 'VBD', 'IN', 'DT', '``', 'JJ', 'NN', '.', ""''""]","['To', 'engage', 'with', 'the', 'historical', 'accuracy', 'of', 'modern', 'national', 'narrative', 'be', 'to', 'enter', 'the', 'domain', 'of', 'what', 'the', 'French', 'historian', 'Ernest', 'Renan', 'famously', 'describe', 'a', 'the', '``', 'necessary', 'error', '.', ""''""]",0.5483870967741935,1.5679905863890562e-05,1.7079547344704429,0.002318437373210456,0.34,1.3351,0.2324455205811138,8,0.3225806451612903,0,0,-0.12903225806451613,False,LLM,2026-05-15_142102
In his 1882 lecture *Qu'est-ce qu'une nation?,"['IN', 'PRP$', 'CD', 'NN', 'VBD', 'NNP', 'NN', 'NN', '.']","['In', 'his', '1882', 'lecture', '*', ""Qu'est-ce"", ""qu'une"", 'nation', '?']",0.5555555555555556,5.340297353198967e-06,2.531435020952764,0.0009128847157016172,0.0,0.9951,0.2324455205811138,4,0.8181818181818182,0,0,-0.5454545454545454,False,LLM,2026-05-15_142102
"*, Renan argued that the essence of a nation is that all its individuals have much in common, but also that they have ""forgotten many things.""","['NN', ',', 'NNP', 'VBD', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'IN', 'PDT', 'PRP$', 'NNS', 'VBP', 'RB', 'IN', 'JJ', ',', 'CC', 'RB', 'IN', 'PRP', 'VBP', '``', 'JJ', 'JJ', 'NNS', '.', ""''""]","['*', ',', 'Renan', 'argue', 'that', 'the', 'essence', 'of', 'a', 'nation', 'be', 'that', 'all', 'it', 'individual', 'have', 'much', 'in', 'common', ',', 'but', 'also', 'that', 'they', 'have', '``', 'forgotten', 'many', 'thing', '.', ""''""]",0.4838709677419355,1.3132587805818299e-05,2.5782678667858416,0.001405552657508839,-0.4767,0.5184,0.2324455205811138,6,0.0967741935483871,2,1,-0.06451612903225806,True,LLM,2026-05-15_142102
"As a scholar of history, I view national narratives not as objective records of the past, but as **teleological myth-making exercises.","['IN', 'DT', 'NN', 'IN', 'NN', ',', 'PRP', 'VBP', 'JJ', 'NNS', 'RB', 'IN', 'JJ', 'NNS', 'IN', 'DT', 'JJ', ',', 'CC', 'IN', 'JJ', 'NNP', 'JJ', 'NN', 'NNS', '.']","['As', 'a', 'scholar', 'of', 'history', ',', 'I', 'view', 'national', 'narrative', 'not', 'a', 'objective', 'record', 'of', 'the', 'past', ',', 'but', 'a', '*', '*', 'teleological', 'myth-making', 'exercise', '.']",0.5384615384615384,2.0231257043938512e-05,1.6213260698736918,0.002774221084080239,0.0,0.9951,0.2324455205811138,6,0.25,0,1,0.03571428571428571,True,LLM,2026-05-15_142102
"** They are curated stories designed to provide a sense of continuity, cohesion, and legitimacy to a political entity that is often younger, more fragmented, and more accidental than its citizens are led to believe.","['NNS', 'VBP', 'PRP', 'VBP', 'JJ', 'NNS', 'VBN', 'TO', 'VB', 'DT', 'NN', 'IN', 'NN', ',', 'NN', ',', 'CC', 'NN', 'TO', 'DT', 'JJ', 'NN', 'WDT', 'VBZ', 'RB', 'JJR', ',', 'RBR', 'JJ', ',', 'CC', 'JJR', 'JJ', 'IN', 'PRP$', 'NNS', 'VBP', 'VBN', 'TO', 'VB', '.']","['*', '*', 'They', 'be', 'curated', 'story', 'design', 'to', 'provide', 'a', 'sense', 'of', 'continuity', ',', 'cohesion', ',', 'and', 'legitimacy', 'to', 'a', 'political', 'entity', 'that', 'be', 'often', 'young', ',', 'more', 'fragmented', ',', 'and', 'more', 'accidental', 'than', 'it', 'citizen', 'be', 'lead', 'to', 'believe', '.']",0.5853658536585366,1.149347718029102e-06,1.1798200323108499,0.0009086778736937756,-0.1513,0.8438,0.2324455205811138,12,0.0975609756097561,2,2,0.1951219512195122,False,LLM,2026-05-15_142102
"Here are the primary dimensions through which we must examine this tension:

### 1.","['RB', 'VBP', 'DT', 'JJ', 'NNS', 'IN', 'WDT', 'PRP', 'MD', 'VB', 'DT', 'NN', ':', '#', '#', '#', 'CD', '.']","['Here', 'be', 'the', 'primary', 'dimension', 'through', 'which', 'we', 'must', 'examine', 'this', 'tension', ':', '#', '#', '#', '1', '.']",0.3333333333333333,1.962830331405929e-05,1.9274998759643187,0.002298513302034429,-0.3869,0.6082,0.2324455205811138,6,0.05263157894736842,1,0,0.0,True,LLM,2026-05-15_142102
"The Myth of Primeval Continuity
Most modern nations claim a lineage that stretches back centuries, if not millennia.","['DT', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'JJ', 'NNS', 'VBP', 'DT', 'NN', 'WDT', 'VBZ', 'RB', 'NNS', ',', 'IN', 'RB', 'NN', '.']","['The', 'Myth', 'of', 'Primeval', 'Continuity', 'Most', 'modern', 'nation', 'claim', 'a', 'lineage', 'that', 'stretch', 'back', 'century', ',', 'if', 'not', 'millennium', '.']",0.65,3.053280997058687e-06,1.7514754586345636,0.0009976525821596245,0.0,0.9951,0.2324455205811138,6,0.42857142857142855,1,0,0.19047619047619047,False,LLM,2026-05-15_142102
