sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The paradox of choice in modern consumer culture.,"['NNS', 'VBP', 'DT', 'NN', 'IN', 'NN', 'IN', 'JJ', 'NN', 'NN', '.']","['Lets', 'discuss', 'The', 'paradox', 'of', 'choice', 'in', 'modern', 'consumer', 'culture', '.']",0.6363636363636364,1.8828785594346465e-05,1.2463189345605803,0.003481624758220503,-0.1027,0.8955,0.24057971014492754,5,0.09090909090909091,0,0,0.18181818181818182,True,LLM,2026-05-15_142348
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9982,0.24057971014492754,1,0.0,0,0,0.0,True,LLM,2026-05-15_142348
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,1.2929825020857574e-06,1.1305337274383898,0.0010058027079303676,0.0,0.9982,0.24057971014492754,3,0.2,0,0,0.0,True,LLM,2026-05-15_142348
"To engage with the ""Paradox of Choice""—a thesis popularized by psychologist Barry Schwartz—is to confront a fundamental friction between Enlightenment ideals and human evolutionary biology.","['TO', 'VB', 'IN', 'DT', '``', 'NNP', 'IN', 'NNP', ""''"", 'VBZ', 'DT', 'NN', 'VBN', 'IN', 'NN', 'NNP', 'NNP', 'NNP', 'VBZ', 'TO', 'VB', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'NNS', 'CC', 'JJ', 'JJ', 'NN', '.']","['To', 'engage', 'with', 'the', '``', 'Paradox', 'of', 'Choice', ""''"", '—', 'a', 'thesis', 'popularize', 'by', 'psychologist', 'Barry', 'Schwartz', '—', 'be', 'to', 'confront', 'a', 'fundamental', 'friction', 'between', 'Enlightenment', 'ideal', 'and', 'human', 'evolutionary', 'biology', '.']",0.59375,1.204871464552933e-05,2.775111437451705,0.0012508059316569955,0.6124,1.6106,0.24057971014492754,10,0.5172413793103449,0,1,0.06896551724137931,True,LLM,2026-05-15_142348
"As a scholar observing the landscape of modern consumer culture, I find this paradox to be one of the most compelling critiques of neoliberal individualism.","['IN', 'DT', 'NN', 'VBG', 'DT', 'NN', 'IN', 'JJ', 'NN', 'NN', ',', 'PRP', 'VBP', 'DT', 'NN', 'TO', 'VB', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'JJ', 'NN', '.']","['As', 'a', 'scholar', 'observe', 'the', 'landscape', 'of', 'modern', 'consumer', 'culture', ',', 'I', 'find', 'this', 'paradox', 'to', 'be', 'one', 'of', 'the', 'most', 'compelling', 'critique', 'of', 'neoliberal', 'individualism', '.']",0.5185185185185185,1.69812034497824e-05,1.5978501181274791,0.0025789813023855577,0.1761,1.1743,0.24057971014492754,9,0.4444444444444444,0,0,0.0,True,LLM,2026-05-15_142348
"The paradox posits that while we operate under the belief that more choice equates to more freedom and, by extension, more welfare, the empirical reality is quite the opposite.","['DT', 'NN', 'VBZ', 'IN', 'IN', 'PRP', 'VBP', 'IN', 'DT', 'NN', 'IN', 'JJR', 'NN', 'VBZ', 'TO', 'RBR', 'NN', 'CC', ',', 'IN', 'NN', ',', 'JJR', 'NN', ',', 'DT', 'JJ', 'NN', 'VBZ', 'RB', 'DT', 'NN', '.']","['The', 'paradox', 'posit', 'that', 'while', 'we', 'operate', 'under', 'the', 'belief', 'that', 'more', 'choice', 'equate', 'to', 'more', 'freedom', 'and', ',', 'by', 'extension', ',', 'more', 'welfare', ',', 'the', 'empirical', 'reality', 'be', 'quite', 'the', 'opposite', '.']",0.5151515151515151,2.716758876398241e-05,1.7256924730070369,0.003020383871447701,0.624,1.6221999999999999,0.24057971014492754,9,0.06060606060606061,2,1,-0.18181818181818182,False,LLM,2026-05-15_142348
"When the array of choices becomes vast, the psychological burden of selection leads not to liberation, but to paralysis and dissatisfaction.","['WRB', 'DT', 'NN', 'IN', 'NNS', 'NNS', 'RB', ',', 'DT', 'JJ', 'NN', 'IN', 'NN', 'VBZ', 'RB', 'TO', 'NN', ',', 'CC', 'TO', 'NN', 'CC', 'NN', '.']","['When', 'the', 'array', 'of', 'choice', 'becomes', 'vast', ',', 'the', 'psychological', 'burden', 'of', 'selection', 'lead', 'not', 'to', 'liberation', ',', 'but', 'to', 'paralysis', 'and', 'dissatisfaction', '.']",0.5,1.709423133761583e-05,1.6831065520920923,0.0024564796905222437,-0.7391,0.2591,0.24057971014492754,5,0.5416666666666666,1,2,0.2916666666666667,False,LLM,2026-05-15_142348
"Here is an analytical breakdown of why this phenomenon is so pervasive in our current era:

### 1.","['RB', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'WRB', 'DT', 'NN', 'VBZ', 'RB', 'JJ', 'IN', 'PRP$', 'JJ', 'NN', ':', '#', '#', '#', 'CD', '.']","['Here', 'be', 'an', 'analytical', 'breakdown', 'of', 'why', 'this', 'phenomenon', 'be', 'so', 'pervasive', 'in', 'our', 'current', 'era', ':', '#', '#', '#', '1', '.']",0.45454545454545453,1.0761588743378173e-06,1.1076294959006088,0.0009365774203400183,0.0,0.9982,0.24057971014492754,7,0.043478260869565216,0,0,0.0,True,LLM,2026-05-15_142348
"The Burden of ""Opportunity Cost""
In a pre-modern or even early-industrial context, choice was often restricted by geography, class, and supply chain limitations.","['DT', 'NNP', 'IN', '``', 'NNP', 'NNP', ""''"", 'IN', 'DT', 'JJ', 'CC', 'RB', 'JJ', 'NN', ',', 'NN', 'VBD', 'RB', 'VBN', 'IN', 'NN', ',', 'NN', ',', 'CC', 'NN', 'NN', 'NNS', '.']","['The', 'Burden', 'of', '``', 'Opportunity', 'Cost', ""''"", 'In', 'a', 'pre-modern', 'or', 'even', 'early-industrial', 'context', ',', 'choice', 'be', 'often', 'restrict', 'by', 'geography', ',', 'class', ',', 'and', 'supply', 'chain', 'limitation', '.']",0.5517241379310345,7.276023694928298e-06,2.8099368595793925,0.0009599541514435131,-0.4019,0.5963,0.24057971014492754,6,0.6764705882352942,0,2,-0.08823529411764706,False,LLM,2026-05-15_142348
"Today, we are overwhelmed by the *tyranny of the alternative*.","['NN', ',', 'PRP', 'VBP', 'VBN', 'IN', 'DT', 'NNP', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']","['Today', ',', 'we', 'be', 'overwhelm', 'by', 'the', '*', 'tyranny', 'of', 'the', 'alternative', '*', '.']",0.5,4.0417134844889076e-05,1.809247816583726,0.003513862024500322,0.0516,1.0498,0.24057971014492754,6,0.2857142857142857,0,0,-0.07142857142857142,True,LLM,2026-05-15_142348
