sentence,pos,lemmas,lexical density,variance,burstiness,saliency,sentiment,sentiment deviation,document ttr,depth,head,sub clauses,coord clauses,branching,balanced,label,timestamp
Lets discuss The possibility of objective morality without religious frameworks.,"['NNS', 'VBP', 'DT', 'NN', 'IN', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.']","['Lets', 'discuss', 'The', 'possibility', 'of', 'objective', 'morality', 'without', 'religious', 'framework', '.']",0.6363636363636364,4.5452624566993235e-05,1.7444707460013695,0.0038647000425471563,0.0,0.9988,0.20656814449917899,7,0.09090909090909091,0,0,0.18181818181818182,True,LLM,2026-05-15_142144
.,['.'],['.'],0.0,0.0,0.0,0.0,0.0,0.9988,0.20656814449917899,1,0.0,0,0,0.0,True,LLM,2026-05-15_142144
What are your thoughts?,"['WP', 'VBP', 'PRP$', 'NNS', '.']","['What', 'be', 'your', 'thought', '?']",0.4,7.5447635690139e-07,1.2372809695177827,0.000702028081123245,0.0,0.9988,0.20656814449917899,3,0.2,0,0,0.0,True,LLM,2026-05-15_142144
"The question of whether morality can be objective—that is, grounded in mind-independent truths—without the scaffolding of divine command or teleological religious frameworks is one of the most rigorous debates in meta-ethics.","['DT', 'NN', 'IN', 'IN', 'NN', 'MD', 'VB', 'JJ', 'NN', 'WDT', 'VBZ', ',', 'VBN', 'IN', 'JJ', 'NNS', 'VBN', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NN', 'CC', 'JJ', 'JJ', 'NNS', 'VBZ', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'NNS', '.']","['The', 'question', 'of', 'whether', 'morality', 'can', 'be', 'objective', '—', 'that', 'be', ',', 'ground', 'in', 'mind-independent', 'truth', '—', 'without', 'the', 'scaffolding', 'of', 'divine', 'command', 'or', 'teleological', 'religious', 'framework', 'be', 'one', 'of', 'the', 'most', 'rigorous', 'debate', 'in', 'meta-ethics', '.']",0.5675675675675675,4.063563413639028e-05,2.261961543773502,0.002818177243218761,0.2975,0.7013,0.20656814449917899,9,0.7073170731707317,0,1,0.04878048780487805,True,LLM,2026-05-15_142144
"To approach this as a scholar, we must first distinguish between **moral realism** (the view that moral facts exist) and **moral anti-realism** (the view that they do not).","['TO', 'VB', 'DT', 'IN', 'DT', 'NN', ',', 'PRP', 'MD', 'VB', 'VB', 'IN', 'NNP', 'NNP', 'JJ', 'NN', 'NNP', 'NNP', '(', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'VBP', ')', 'CC', '$', 'JJ', 'JJ', 'NN', 'NN', 'NNP', '(', 'DT', 'NN', 'IN', 'PRP', 'VBP', 'RB', ')', '.']","['To', 'approach', 'this', 'a', 'a', 'scholar', ',', 'we', 'must', 'first', 'distinguish', 'between', '*', '*', 'moral', 'realism', '*', '*', '(', 'the', 'view', 'that', 'moral', 'fact', 'exist', ')', 'and', '*', '*', 'moral', 'anti-realism', '*', '*', '(', 'the', 'view', 'that', 'they', 'do', 'not', ')', '.']",0.5238095238095238,3.909806592047183e-05,2.127508158342719,0.0029390461332739026,0.0,0.9988,0.20656814449917899,5,0.22727272727272727,2,1,0.20454545454545456,False,LLM,2026-05-15_142144
"If we seek objective morality without a deity, we are essentially looking for a **Secular Moral Realist** argument.","['IN', 'PRP', 'VBP', 'JJ', 'NN', 'IN', 'DT', 'NN', ',', 'PRP', 'VBP', 'RB', 'VBG', 'IN', 'DT', 'JJ', 'NN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', '.']","['If', 'we', 'seek', 'objective', 'morality', 'without', 'a', 'deity', ',', 'we', 'be', 'essentially', 'look', 'for', 'a', '*', '*', 'Secular', 'Moral', 'Realist', '*', '*', 'argument', '.']",0.625,3.159888021442959e-05,1.8135541220410853,0.003099597668117251,-0.3612,1.36,0.20656814449917899,5,0.5,1,0,-0.20833333333333334,False,LLM,2026-05-15_142144
"Here are the primary philosophical pathways through which scholars attempt to ground objective morality in a post-secular context:

### 1.","['RB', 'VBP', 'DT', 'JJ', 'JJ', 'NNS', 'IN', 'WDT', 'NNS', 'VBP', 'TO', 'VB', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', ':', '#', '#', '#', 'CD', '.']","['Here', 'be', 'the', 'primary', 'philosophical', 'pathway', 'through', 'which', 'scholar', 'attempt', 'to', 'grind', 'objective', 'morality', 'in', 'a', 'post-secular', 'context', ':', '#', '#', '#', '1', '.']",0.5,5.417236035504519e-05,2.086298782541729,0.003527868387462771,0.0,0.9988,0.20656814449917899,7,0.037037037037037035,1,0,-0.07407407407407407,True,LLM,2026-05-15_142144
"The Naturalistic/Biological Pathway (Evolutionary Ethics)
Some philosophers, such as Philippa Foot and more recently Erik Wielenberg, argue that morality is rooted in the biological requirements of human flourishing.","['DT', 'NNP', 'NNP', '(', 'NNP', 'NNP', ')', 'DT', 'NNS', ',', 'JJ', 'IN', 'NNP', 'NNP', 'CC', 'RBR', 'RB', 'NNP', 'NNP', ',', 'NN', 'IN', 'NN', 'VBZ', 'VBN', 'IN', 'DT', 'JJ', 'NNS', 'IN', 'JJ', 'NN', '.']","['The', 'Naturalistic/Biological', 'Pathway', '(', 'Evolutionary', 'Ethics', ')', 'Some', 'philosopher', ',', 'such', 'a', 'Philippa', 'Foot', 'and', 'more', 'recently', 'Erik', 'Wielenberg', ',', 'argue', 'that', 'morality', 'be', 'root', 'in', 'the', 'biological', 'requirement', 'of', 'human', 'flourishing', '.']",0.6060606060606061,3.05648903571685e-05,2.592038044568365,0.0021328978159126364,-0.34,1.3388,0.20656814449917899,7,0.6388888888888888,1,1,0.027777777777777776,True,LLM,2026-05-15_142144
"*   **The Argument:** If we define ""morality"" as the set of rules that allow a social species to survive and thrive, then ""good"" is not a mystical property but a functional one.","['JJ', 'NNP', 'VBZ', 'DT', 'NN', ':', 'NN', 'NN', 'IN', 'PRP', 'VBP', '``', 'NN', ""''"", 'IN', 'DT', 'NN', 'IN', 'NNS', 'WDT', 'VBP', 'DT', 'JJ', 'NNS', 'TO', 'VB', 'CC', 'VB', ',', 'RB', '``', 'JJ', ""''"", 'VBZ', 'RB', 'DT', 'JJ', 'NN', 'CC', 'DT', 'JJ', 'NN', '.']","['*', '*', '*', 'The', 'Argument', ':', '*', '*', 'If', 'we', 'define', '``', 'morality', ""''"", 'a', 'the', 'set', 'of', 'rule', 'that', 'allow', 'a', 'social', 'specie', 'to', 'survive', 'and', 'thrive', ',', 'then', '``', 'good', ""''"", 'be', 'not', 'a', 'mystical', 'property', 'but', 'a', 'functional', 'one', '.']",0.5348837209302325,2.8478378143053387e-05,2.119020958790166,0.002518386449743704,0.1154,0.8834,0.20656814449917899,3,0.0,0,0,0.625,False,LLM,2026-05-15_142144
"Just as ""good"" health is an objective state defined by the biological needs of an organism, ""good"" behavior is an objective state defined by the needs of a cooperative, social species.","['RB', 'IN', '``', 'JJ', ""''"", 'NN', 'VBZ', 'DT', 'JJ', 'NN', 'VBN', 'IN', 'DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', ',', '``', 'JJ', ""''"", 'NN', 'VBZ', 'DT', 'JJ', 'NN', 'VBN', 'IN', 'DT', 'NNS', 'IN', 'DT', 'JJ', ',', 'JJ', 'NNS', '.']","['Just', 'a', '``', 'good', ""''"", 'health', 'be', 'an', 'objective', 'state', 'define', 'by', 'the', 'biological', 'need', 'of', 'an', 'organism', ',', '``', 'good', ""''"", 'behavior', 'be', 'an', 'objective', 'state', 'define', 'by', 'the', 'need', 'of', 'a', 'cooperative', ',', 'social', 'specie', '.']",0.5263157894736842,4.516041276076421e-05,2.1996336992885253,0.0030551222048881958,0.0,0.9988,0.20656814449917899,9,0.6052631578947368,1,0,-0.2894736842105263,False,LLM,2026-05-15_142144
